"treat","rep","tree","date","isalive","height","dia","dbh"
"CONTROL","A",4,2/7/2001 0:00:00,1,418.79,72.00,75.00
"CONTROL","A",4,5/31/2002 0:00:00,1,524.25,102.00,75.00
"CONTROL","A",4,11/26/2002 0:00:00,1,646.17,102.00,73.00
"CONTROL","A",4,4/26/2004 0:00:00,1,701.04,111.00,98.00
"CONTROL","A",4,8/23/2005 0:00:00,1,975.36,154.94,121.92
"CONTROL","A",5,10/7/1996 0:00:00,1,91.00,21.20,0.00
"CONTROL","A",5,11/11/1997 0:00:00,1,149.00,27.00,0.00
"CONTROL","A",5,8/18/1999 0:00:00,1,323.08,50.00,0.00
"CONTROL","A",5,2/7/2001 0:00:00,1,421.84,52.00,58.00
"CONTROL","A",5,5/31/2002 0:00:00,1,530.35,92.00,58.00
"CONTROL","A",5,11/26/2002 0:00:00,1,670.56,93.00,62.00
"CONTROL","A",5,4/26/2004 0:00:00,1,765.04,112.00,80.00
"CONTROL","A",5,8/23/2005 0:00:00,1,914.40,134.62,106.68
"CONTROL","A",6,10/7/1996 0:00:00,1,114.00,24.40,0.00
"CONTROL","A",6,11/11/1997 0:00:00,1,200.00,35.00,0.00
"CONTROL","A",6,8/18/1999 0:00:00,1,381.91,74.00,0.00
"CONTROL","A",6,2/7/2001 0:00:00,1,489.20,102.00,100.00
"CONTROL","A",6,5/31/2002 0:00:00,1,595.88,126.00,100.00
"CONTROL","A",6,11/26/2002 0:00:00,1,746.76,142.00,99.00
"CONTROL","A",6,4/26/2004 0:00:00,1,819.91,192.00,127.00
"CONTROL","A",6,8/23/2005 0:00:00,1,975.36,220.98,170.18
"CONTROL","A",7,10/7/1996 0:00:00,1,97.00,14.90,0.00
"CONTROL","A",7,11/11/1997 0:00:00,1,139.00,22.00,0.00
"CONTROL","A",7,8/18/1999 0:00:00,1,226.46,42.00,0.00
"CONTROL","A",7,2/7/2001 0:00:00,1,311.20,54.00,59.00
"CONTROL","A",7,5/31/2002 0:00:00,1,440.43,81.00,59.00
"CONTROL","A",7,11/26/2002 0:00:00,1,573.02,92.00,68.00
"CONTROL","A",7,4/26/2004 0:00:00,1,685.80,111.00,88.00
"CONTROL","A",7,8/23/2005 0:00:00,1,853.44,132.08,106.68
"CONTROL","A",8,10/7/1996 0:00:00,1,88.00,26.30,0.00
"CONTROL","A",8,11/11/1997 0:00:00,1,190.00,32.00,0.00
"CONTROL","A",8,8/18/1999 0:00:00,1,367.28,70.00,0.00
"CONTROL","A",8,2/7/2001 0:00:00,1,441.04,80.00,77.00
"CONTROL","A",8,5/31/2002 0:00:00,1,548.64,117.00,77.00
"CONTROL","A",8,11/26/2002 0:00:00,1,652.27,189.00,82.00
"CONTROL","A",8,4/26/2004 0:00:00,1,768.09,165.00,115.00
"CONTROL","A",8,8/23/2005 0:00:00,1,1005.84,213.36,154.94
"CONTROL","A",9,10/7/1996 0:00:00,1,99.00,24.50,0.00
"CONTROL","A",9,11/11/1997 0:00:00,1,147.00,35.50,0.00
"CONTROL","A",9,8/18/1999 0:00:00,1,238.35,68.00,0.00
"CONTROL","A",9,2/7/2001 0:00:00,1,362.40,75.00,67.00
"CONTROL","A",9,5/31/2002 0:00:00,1,432.81,95.00,67.00
"CONTROL","A",9,11/26/2002 0:00:00,1,563.88,105.00,77.00
"CONTROL","A",9,4/26/2004 0:00:00,1,624.84,132.00,96.00
"CONTROL","A",9,8/23/2005 0:00:00,1,883.92,162.56,129.54
"CONTROL","A",10,10/7/1996 0:00:00,1,28.00,14.20,0.00
"CONTROL","A",10,11/11/1997 0:00:00,1,58.00,12.00,0.00
"CONTROL","A",10,8/18/1999 0:00:00,1,145.38,17.00,0.00
"CONTROL","A",10,2/7/2001 0:00:00,1,197.51,25.00,14.00
"CONTROL","A",10,5/31/2002 0:00:00,1,243.84,33.00,14.00
"CONTROL","A",10,11/26/2002 0:00:00,1,323.08,42.00,22.00
"CONTROL","A",10,4/26/2004 0:00:00,1,384.04,55.00,33.00
"CONTROL","A",10,8/23/2005 0:00:00,1,640.08,71.12,50.80
"CONTROL","A",11,10/7/1996 0:00:00,1,55.00,11.30,0.00
"CONTROL","A",11,11/11/1997 0:00:00,1,81.00,13.50,0.00
"CONTROL","A",11,8/18/1999 0:00:00,1,165.20,24.00,0.00
"CONTROL","A",11,2/7/2001 0:00:00,1,230.73,21.00,29.00
"CONTROL","A",11,5/31/2002 0:00:00,1,297.18,39.00,29.00
"CONTROL","A",11,11/26/2002 0:00:00,1,359.66,50.00,32.00
"CONTROL","A",11,4/26/2004 0:00:00,1,432.81,62.00,50.00
"CONTROL","A",11,8/23/2005 0:00:00,1,701.04,86.36,66.04
"CONTROL","A",12,10/7/1996 0:00:00,1,142.00,23.10,0.00
"CONTROL","A",12,11/11/1997 0:00:00,1,269.00,40.00,0.00
"CONTROL","A",12,8/18/1999 0:00:00,1,473.04,71.00,0.00
"CONTROL","A",12,2/7/2001 0:00:00,1,591.31,88.00,91.00
"CONTROL","A",12,5/31/2002 0:00:00,1,729.99,110.00,91.00
"CONTROL","A",12,11/26/2002 0:00:00,1,908.30,139.00,100.00
"CONTROL","A",12,4/26/2004 0:00:00,1,914.40,169.00,127.00
"CONTROL","A",12,8/23/2005 0:00:00,1,1219.20,195.58,165.10
"CONTROL","A",13,10/7/1996 0:00:00,1,26.00,10.20,0.00
"CONTROL","A",13,11/11/1997 0:00:00,1,33.00,11.00,0.00
"CONTROL","A",13,8/18/1999 0:00:00,1,86.86,12.00,0.00
"CONTROL","A",13,2/7/2001 0:00:00,1,83.82,100.00,3.00
"CONTROL","A",13,5/31/2002 0:00:00,1,137.16,18.00,3.00
"CONTROL","A",13,11/26/2002 0:00:00,1,188.97,19.00,8.00
"CONTROL","A",13,4/26/2004 0:00:00,1,237.74,22.00,12.00
"CONTROL","A",13,8/23/2005 0:00:00,1,304.80,27.94,20.32
"CONTROL","A",14,10/7/1996 0:00:00,1,96.00,14.20,0.00
"CONTROL","A",14,11/11/1997 0:00:00,1,149.00,25.50,0.00
"CONTROL","A",14,8/18/1999 0:00:00,1,315.46,47.00,0.00
"CONTROL","A",14,2/7/2001 0:00:00,1,404.46,62.00,58.00
"CONTROL","A",14,5/31/2002 0:00:00,1,470.91,72.00,58.00
"CONTROL","A",14,11/26/2002 0:00:00,1,560.83,82.00,63.00
"CONTROL","A",14,4/26/2004 0:00:00,1,649.22,100.00,80.00
"CONTROL","A",14,8/23/2005 0:00:00,1,762.00,27.94,20.32
"CONTROL","A",15,10/7/1996 0:00:00,1,43.00,10.30,0.00
"CONTROL","A",15,11/11/1997 0:00:00,1,46.00,14.00,0.00
"CONTROL","A",15,8/18/1999 0:00:00,1,91.44,20.00,0.00
"CONTROL","A",15,2/7/2001 0:00:00,1,155.44,11.00,10.00
"CONTROL","A",15,5/31/2002 0:00:00,1,193.54,25.00,10.00
"CONTROL","A",15,11/26/2002 0:00:00,1,228.60,29.00,10.00
"CONTROL","A",15,4/26/2004 0:00:00,1,259.08,24.00,12.00
"CONTROL","A",15,8/23/2005 0:00:00,1,274.32,121.92,104.14
"CONTROL","A",16,10/7/1996 0:00:00,1,122.00,30.70,0.00
"CONTROL","A",16,11/11/1997 0:00:00,1,174.00,43.00,0.00
"CONTROL","A",16,8/18/1999 0:00:00,1,378.56,78.00,0.00
"CONTROL","A",16,2/7/2001 0:00:00,1,491.33,100.00,88.00
"CONTROL","A",16,5/31/2002 0:00:00,1,614.17,129.00,88.00
"CONTROL","A",16,11/26/2002 0:00:00,1,716.28,138.00,92.00
"CONTROL","A",16,4/26/2004 0:00:00,1,810.76,176.00,120.00
"CONTROL","A",16,8/23/2005 0:00:00,1,822.96,195.58,144.78
"CONTROL","A",17,10/7/1996 0:00:00,1,122.00,24.80,0.00
"CONTROL","A",17,11/11/1997 0:00:00,1,180.00,34.00,0.00
"CONTROL","A",17,8/18/1999 0:00:00,1,396.24,69.00,0.00
"CONTROL","A",17,2/7/2001 0:00:00,1,454.76,68.00,70.00
"CONTROL","A",17,5/31/2002 0:00:00,1,537.97,88.00,70.00
"CONTROL","A",17,11/26/2002 0:00:00,1,627.88,99.00,62.00
"CONTROL","A",17,4/26/2004 0:00:00,1,716.28,117.00,92.00
"CONTROL","A",17,8/23/2005 0:00:00,1,853.44,144.78,119.38
"CONTROL","A",18,10/7/1996 0:00:00,1,95.00,13.40,0.00
"CONTROL","A",18,11/11/1997 0:00:00,1,144.00,23.00,0.00
"CONTROL","A",18,8/18/1999 0:00:00,1,288.64,43.00,0.00
"CONTROL","A",18,2/7/2001 0:00:00,1,359.66,52.00,62.00
"CONTROL","A",18,5/31/2002 0:00:00,1,475.48,89.00,62.00
"CONTROL","A",18,11/26/2002 0:00:00,1,518.16,91.00,70.00
"CONTROL","A",18,4/26/2004 0:00:00,1,597.40,111.00,84.00
"CONTROL","A",18,8/23/2005 0:00:00,1,731.52,139.70,109.22
"CONTROL","A",19,10/7/1996 0:00:00,1,84.00,14.50,0.00
"CONTROL","A",19,11/11/1997 0:00:00,1,136.00,24.00,0.00
"CONTROL","A",19,8/18/1999 0:00:00,1,227.99,42.00,0.00
"CONTROL","A",19,2/7/2001 0:00:00,1,320.04,58.00,58.00
"CONTROL","A",19,5/31/2002 0:00:00,1,420.62,79.00,58.00
"CONTROL","A",19,11/26/2002 0:00:00,1,475.48,82.00,62.00
"CONTROL","A",19,4/26/2004 0:00:00,1,542.54,113.00,81.00
"CONTROL","A",19,8/23/2005 0:00:00,1,762.00,147.32,109.22
"CONTROL","A",20,10/7/1996 0:00:00,1,96.00,16.60,0.00
"CONTROL","A",20,11/11/1997 0:00:00,1,182.00,25.50,0.00
"CONTROL","A",20,8/18/1999 0:00:00,1,357.83,46.00,0.00
"CONTROL","A",20,2/7/2001 0:00:00,1,458.11,58.00,60.00
"CONTROL","A",20,5/31/2002 0:00:00,1,576.07,83.00,60.00
"CONTROL","A",20,11/26/2002 0:00:00,1,652.27,90.00,70.00
"CONTROL","A",20,4/26/2004 0:00:00,1,746.76,108.00,83.00
"CONTROL","A",20,8/23/2005 0:00:00,1,822.96,127.00,101.60
"CONTROL","B",21,10/7/1996 0:00:00,1,121.00,23.20,0.00
"CONTROL","B",21,11/11/1997 0:00:00,1,213.00,36.50,0.00
"CONTROL","B",21,8/18/1999 0:00:00,1,413.91,64.00,0.00
"CONTROL","B",21,2/7/2001 0:00:00,1,543.76,86.00,0.00
"CONTROL","B",21,5/31/2002 0:00:00,1,649.22,118.00,98.00
"CONTROL","B",21,11/26/2002 0:00:00,1,762.00,189.00,110.00
"CONTROL","B",21,4/26/2004 0:00:00,1,734.56,439.42,342.90
"CONTROL","B",21,8/23/2005 0:00:00,1,883.92,223.52,177.80
"CONTROL","B",22,10/7/1996 0:00:00,1,72.00,10.50,0.00
"CONTROL","B",22,11/11/1997 0:00:00,1,127.00,19.00,0.00
"CONTROL","B",22,8/18/1999 0:00:00,1,267.30,39.00,0.00
"CONTROL","B",22,2/7/2001 0:00:00,1,352.34,59.00,0.00
"CONTROL","B",22,5/31/2002 0:00:00,1,448.05,76.00,61.00
"CONTROL","B",22,11/26/2002 0:00:00,1,554.73,88.00,74.00
"CONTROL","B",22,4/26/2004 0:00:00,1,637.03,259.08,187.96
"CONTROL","B",22,8/23/2005 0:00:00,1,792.48,147.32,114.30
"CONTROL","B",23,10/7/1996 0:00:00,1,131.00,22.70,0.00
"CONTROL","B",23,11/11/1997 0:00:00,1,193.00,39.50,0.00
"CONTROL","B",23,8/18/1999 0:00:00,1,370.63,65.00,0.00
"CONTROL","B",23,2/7/2001 0:00:00,1,485.85,72.00,0.00
"CONTROL","B",23,5/31/2002 0:00:00,1,573.02,108.00,81.00
"CONTROL","B",23,11/26/2002 0:00:00,1,682.75,120.00,87.00
"CONTROL","B",23,4/26/2004 0:00:00,1,883.92,330.20,266.70
"CONTROL","B",23,8/23/2005 0:00:00,1,883.92,165.10,137.16
"CONTROL","B",24,10/7/1996 0:00:00,1,49.00,15.10,0.00
"CONTROL","B",24,11/11/1997 0:00:00,1,90.00,23.00,0.00
"CONTROL","B",24,8/18/1999 0:00:00,1,227.99,40.00,0.00
"CONTROL","B",24,2/7/2001 0:00:00,1,313.94,53.00,0.00
"CONTROL","B",24,5/31/2002 0:00:00,1,347.47,81.00,50.00
"CONTROL","B",24,11/26/2002 0:00:00,1,451.10,88.00,55.00
"CONTROL","B",24,4/26/2004 0:00:00,1,478.53,269.24,157.48
"CONTROL","B",24,8/23/2005 0:00:00,1,609.60,121.92,81.28
"CONTROL","B",25,10/7/1996 0:00:00,1,68.00,15.00,0.00
"CONTROL","B",25,11/11/1997 0:00:00,1,190.00,21.50,0.00
"CONTROL","B",25,8/18/1999 0:00:00,1,271.27,42.00,0.00
"CONTROL","B",25,2/7/2001 0:00:00,1,372.77,54.00,0.00
"CONTROL","B",25,5/31/2002 0:00:00,1,478.53,76.00,52.00
"CONTROL","B",25,11/26/2002 0:00:00,1,579.12,70.00,59.00
"CONTROL","B",25,4/26/2004 0:00:00,1,646.17,233.68,165.10
"CONTROL","B",25,8/23/2005 0:00:00,1,762.00,111.76,86.36
"CONTROL","B",26,10/7/1996 0:00:00,1,52.00,11.30,0.00
"CONTROL","B",26,11/11/1997 0:00:00,1,76.00,17.50,0.00
"CONTROL","B",26,8/18/1999 0:00:00,1,212.75,33.00,0.00
"CONTROL","B",26,2/7/2001 0:00:00,1,297.48,42.00,0.00
"CONTROL","B",26,5/31/2002 0:00:00,1,402.33,66.00,43.00
"CONTROL","B",26,11/26/2002 0:00:00,1,518.16,72.00,50.00
"CONTROL","B",26,4/26/2004 0:00:00,1,612.64,218.44,147.32
"CONTROL","B",26,8/23/2005 0:00:00,1,762.00,91.44,81.28
"CONTROL","B",27,10/7/1996 0:00:00,1,66.00,16.60,0.00
"CONTROL","B",27,11/11/1997 0:00:00,1,92.00,23.00,0.00
"CONTROL","B",27,8/18/1999 0:00:00,1,224.33,43.00,0.00
"CONTROL","B",27,2/7/2001 0:00:00,1,281.94,52.00,0.00
"CONTROL","B",27,5/31/2002 0:00:00,1,356.61,81.00,39.00
"CONTROL","B",27,11/26/2002 0:00:00,1,460.24,90.00,80.00
"CONTROL","B",27,4/26/2004 0:00:00,1,509.01,167.64,127.00
"CONTROL","B",27,8/23/2005 0:00:00,1,640.08,81.28,66.04
"CONTROL","B",28,10/7/1996 0:00:00,1,60.00,10.10,0.00
"CONTROL","B",28,11/11/1997 0:00:00,1,88.00,15.50,0.00
"CONTROL","B",28,8/18/1999 0:00:00,1,224.02,27.00,0.00
"CONTROL","B",28,2/7/2001 0:00:00,1,294.13,36.00,0.00
"CONTROL","B",28,5/31/2002 0:00:00,1,377.95,58.00,44.00
"CONTROL","B",28,11/26/2002 0:00:00,1,463.29,66.00,45.00
"CONTROL","B",28,4/26/2004 0:00:00,1,551.68,185.42,152.40
"CONTROL","B",28,8/23/2005 0:00:00,1,670.56,88.90,78.74
"CONTROL","B",29,10/7/1996 0:00:00,1,76.00,17.70,0.00
"CONTROL","B",29,11/11/1997 0:00:00,1,120.00,17.50,0.00
"CONTROL","B",29,8/18/1999 0:00:00,1,245.97,32.00,0.00
"CONTROL","B",29,2/7/2001 0:00:00,1,302.05,40.00,0.00
"CONTROL","B",29,5/31/2002 0:00:00,1,393.19,60.00,46.00
"CONTROL","B",29,11/26/2002 0:00:00,1,490.72,61.00,52.00
"CONTROL","B",29,4/26/2004 0:00:00,1,573.02,215.90,154.94
"CONTROL","B",29,8/23/2005 0:00:00,1,701.04,93.98,83.82
"CONTROL","B",30,10/7/1996 0:00:00,1,74.00,18.40,0.00
"CONTROL","B",30,11/11/1997 0:00:00,1,133.00,24.50,0.00
"CONTROL","B",30,8/18/1999 0:00:00,1,307.84,43.00,0.00
"CONTROL","B",30,2/7/2001 0:00:00,1,387.09,50.00,0.00
"CONTROL","B",30,5/31/2002 0:00:00,1,457.20,63.00,51.00
"CONTROL","B",30,11/26/2002 0:00:00,1,576.07,68.00,51.00
"CONTROL","B",30,4/26/2004 0:00:00,1,615.69,220.98,172.72
"CONTROL","B",30,8/23/2005 0:00:00,1,792.48,104.14,88.90
"CONTROL","B",31,10/7/1996 0:00:00,1,97.00,15.30,0.00
"CONTROL","B",31,11/11/1997 0:00:00,1,148.00,24.50,0.00
"CONTROL","B",31,8/18/1999 0:00:00,1,303.58,42.00,0.00
"CONTROL","B",31,2/7/2001 0:00:00,1,391.36,67.00,0.00
"CONTROL","B",31,5/31/2002 0:00:00,1,493.77,82.00,62.00
"CONTROL","B",31,11/26/2002 0:00:00,1,454.15,74.00,64.00
"CONTROL","B",31,4/26/2004 0:00:00,1,679.70,266.70,203.20
"CONTROL","B",31,8/23/2005 0:00:00,1,670.56,111.76,96.52
"CONTROL","B",32,10/7/1996 0:00:00,1,78.00,13.20,0.00
"CONTROL","B",32,11/11/1997 0:00:00,1,136.00,22.00,0.00
"CONTROL","B",32,8/18/1999 0:00:00,1,305.40,39.00,0.00
"CONTROL","B",32,2/7/2001 0:00:00,1,384.04,44.00,0.00
"CONTROL","B",32,5/31/2002 0:00:00,1,469.39,64.00,58.00
"CONTROL","B",32,11/26/2002 0:00:00,1,585.21,76.00,61.00
"CONTROL","B",32,4/26/2004 0:00:00,1,661.41,248.92,180.34
"CONTROL","B",32,8/23/2005 0:00:00,1,944.88,104.14,88.90
"CONTROL","B",33,10/7/1996 0:00:00,1,62.00,15.10,0.00
"CONTROL","B",33,11/11/1997 0:00:00,1,67.00,16.00,0.00
"CONTROL","B",33,8/18/1999 0:00:00,1,121.92,13.00,0.00
"CONTROL","B",33,2/7/2001 0:00:00,1,175.26,19.00,0.00
"CONTROL","B",33,5/31/2002 0:00:00,1,210.31,26.00,14.00
"CONTROL","B",33,11/26/2002 0:00:00,1,268.22,26.00,15.00
"CONTROL","B",33,4/26/2004 0:00:00,1,307.84,78.74,50.80
"CONTROL","B",33,8/23/2005 0:00:00,1,365.76,35.56,25.40
"CONTROL","B",34,10/7/1996 0:00:00,1,117.00,26.30,0.00
"CONTROL","B",34,11/11/1997 0:00:00,1,178.00,32.00,0.00
"CONTROL","B",34,8/18/1999 0:00:00,1,361.18,45.00,0.00
"CONTROL","B",34,2/7/2001 0:00:00,1,425.19,62.00,0.00
"CONTROL","B",34,5/31/2002 0:00:00,1,542.54,90.00,66.00
"CONTROL","B",34,11/26/2002 0:00:00,1,658.36,100.00,66.00
"CONTROL","B",34,4/26/2004 0:00:00,1,722.37,294.64,266.70
"CONTROL","B",34,8/23/2005 0:00:00,1,762.00,137.16,101.60
"CONTROL","B",35,10/7/1996 0:00:00,1,98.00,20.80,0.00
"CONTROL","B",35,11/11/1997 0:00:00,1,153.00,29.50,0.00
"CONTROL","B",35,8/18/1999 0:00:00,1,332.84,57.00,0.00
"CONTROL","B",35,2/7/2001 0:00:00,1,437.99,63.00,0.00
"CONTROL","B",35,5/31/2002 0:00:00,1,545.59,110.00,75.00
"CONTROL","B",35,11/26/2002 0:00:00,1,646.17,116.00,85.00
"CONTROL","B",35,4/26/2004 0:00:00,1,697.99,381.00,213.36
"CONTROL","B",35,8/23/2005 0:00:00,1,853.44,147.32,127.00
"CONTROL","B",36,10/7/1996 0:00:00,1,27.00,8.00,0.00
"CONTROL","B",36,11/11/1997 0:00:00,0,,,
"CONTROL","B",36,8/18/1999 0:00:00,0,,,
"CONTROL","B",36,2/7/2001 0:00:00,0,,,
"CONTROL","B",36,5/31/2002 0:00:00,0,,,
"CONTROL","B",36,11/26/2002 0:00:00,0,,,
"CONTROL","B",36,4/26/2004 0:00:00,0,,,
"CONTROL","B",36,8/23/2005 0:00:00,0,,,
"CONTROL","B",37,10/7/1996 0:00:00,1,83.00,16.50,0.00
"CONTROL","B",37,11/11/1997 0:00:00,1,132.00,26.00,0.00
"CONTROL","B",37,8/18/1999 0:00:00,1,302.97,45.00,0.00
"CONTROL","B",37,2/7/2001 0:00:00,1,391.36,68.00,0.00
"CONTROL","B",37,5/31/2002 0:00:00,1,429.76,92.00,70.00
"CONTROL","B",37,11/26/2002 0:00:00,1,530.35,100.00,77.00
"CONTROL","B",37,4/26/2004 0:00:00,1,615.69,332.74,231.14
"CONTROL","B",37,8/23/2005 0:00:00,1,853.44,144.78,114.30
"CONTROL","B",38,10/7/1996 0:00:00,1,76.00,17.90,0.00
"CONTROL","B",38,11/11/1997 0:00:00,1,146.00,26.00,0.00
"CONTROL","B",38,8/18/1999 0:00:00,1,323.69,49.00,0.00
"CONTROL","B",38,2/7/2001 0:00:00,1,416.35,64.00,0.00
"CONTROL","B",38,5/31/2002 0:00:00,1,530.35,105.00,77.00
"CONTROL","B",38,11/26/2002 0:00:00,1,673.60,125.00,91.00
"CONTROL","B",38,4/26/2004 0:00:00,1,774.19,330.20,279.40
"CONTROL","B",38,8/23/2005 0:00:00,1,853.44,162.56,139.70
"CONTROL","B",39,10/7/1996 0:00:00,1,116.00,29.80,0.00
"CONTROL","B",39,11/11/1997 0:00:00,1,194.00,46.50,0.00
"CONTROL","B",39,8/18/1999 0:00:00,1,398.67,70.00,0.00
"CONTROL","B",39,2/7/2001 0:00:00,1,509.01,82.00,0.00
"CONTROL","B",39,5/31/2002 0:00:00,1,633.98,112.00,91.00
"CONTROL","B",39,11/26/2002 0:00:00,1,743.71,127.00,114.00
"CONTROL","B",39,4/26/2004 0:00:00,1,792.48,375.92,330.20
"CONTROL","B",39,8/23/2005 0:00:00,1,944.88,182.88,142.24
"CONTROL","B",40,10/7/1996 0:00:00,1,86.00,15.30,0.00
"CONTROL","B",40,11/11/1997 0:00:00,1,136.00,21.50,0.00
"CONTROL","B",40,8/18/1999 0:00:00,1,295.04,44.00,0.00
"CONTROL","B",40,2/7/2001 0:00:00,1,392.88,51.00,0.00
"CONTROL","B",40,5/31/2002 0:00:00,1,521.20,68.00,56.00
"CONTROL","B",40,11/26/2002 0:00:00,1,618.74,78.00,61.00
"CONTROL","B",40,4/26/2004 0:00:00,1,762.00,0.00,203.20
"CONTROL","B",40,8/23/2005 0:00:00,1,822.96,114.30,96.52
"CONTROL","C",41,10/7/1996 0:00:00,1,139.00,24.50,0.00
"CONTROL","C",41,11/11/1997 0:00:00,1,231.00,40.00,0.00
"CONTROL","C",41,8/18/1999 0:00:00,1,457.20,81.00,0.00
"CONTROL","C",41,2/7/2001 0:00:00,1,571.80,108.00,0.00
"CONTROL","C",41,5/31/2002 0:00:00,1,746.76,126.00,106.00
"CONTROL","C",41,11/26/2002 0:00:00,1,880.87,140.00,117.00
"CONTROL","C",41,4/26/2004 0:00:00,1,880.87,166.00,138.00
"CONTROL","C",41,8/23/2005 0:00:00,1,1036.32,228.60,187.96
"CONTROL","C",42,10/7/1996 0:00:00,1,37.00,9.50,0.00
"CONTROL","C",42,11/11/1997 0:00:00,1,70.00,14.00,0.00
"CONTROL","C",42,8/18/1999 0:00:00,1,230.12,28.00,0.00
"CONTROL","C",42,2/7/2001 0:00:00,1,306.32,39.00,0.00
"CONTROL","C",42,5/31/2002 0:00:00,1,429.76,61.00,48.00
"CONTROL","C",42,11/26/2002 0:00:00,1,542.54,61.00,53.00
"CONTROL","C",42,4/26/2004 0:00:00,1,615.69,98.00,70.00
"CONTROL","C",42,8/23/2005 0:00:00,1,853.44,119.38,93.98
"CONTROL","C",43,10/7/1996 0:00:00,1,74.00,9.90,0.00
"CONTROL","C",43,11/11/1997 0:00:00,1,112.00,15.00,0.00
"CONTROL","C",43,8/18/1999 0:00:00,1,227.07,31.00,0.00
"CONTROL","C",43,2/7/2001 0:00:00,1,313.94,47.00,0.00
"CONTROL","C",43,5/31/2002 0:00:00,1,384.04,65.00,51.00
"CONTROL","C",43,11/26/2002 0:00:00,1,481.58,68.00,57.00
"CONTROL","C",43,4/26/2004 0:00:00,1,582.16,90.00,68.00
"CONTROL","C",43,8/23/2005 0:00:00,1,731.52,104.14,83.82
"CONTROL","C",44,10/7/1996 0:00:00,1,98.00,22.50,0.00
"CONTROL","C",44,11/11/1997 0:00:00,1,190.00,30.00,0.00
"CONTROL","C",44,8/18/1999 0:00:00,1,395.32,64.00,0.00
"CONTROL","C",44,2/7/2001 0:00:00,1,495.30,80.00,0.00
"CONTROL","C",44,5/31/2002 0:00:00,1,640.08,115.00,78.00
"CONTROL","C",44,11/26/2002 0:00:00,1,768.09,132.00,86.00
"CONTROL","C",44,4/26/2004 0:00:00,1,880.87,158.00,107.00
"CONTROL","C",44,8/23/2005 0:00:00,1,914.40,142.24,177.80
"CONTROL","C",45,10/7/1996 0:00:00,1,135.00,26.50,0.00
"CONTROL","C",45,11/11/1997 0:00:00,1,230.00,28.00,0.00
"CONTROL","C",45,8/18/1999 0:00:00,1,301.75,43.00,0.00
"CONTROL","C",45,2/7/2001 0:00:00,1,289.56,50.00,0.00
"CONTROL","C",45,5/31/2002 0:00:00,1,371.85,64.00,51.00
"CONTROL","C",45,11/26/2002 0:00:00,1,472.44,71.00,60.00
"CONTROL","C",45,4/26/2004 0:00:00,1,579.12,92.00,72.00
"CONTROL","C",45,8/23/2005 0:00:00,1,731.52,101.60,81.28
"CONTROL","C",46,10/7/1996 0:00:00,1,15.00,8.10,0.00
"CONTROL","C",46,11/11/1997 0:00:00,0,,,
"CONTROL","C",46,8/18/1999 0:00:00,0,,,
"CONTROL","C",46,2/7/2001 0:00:00,0,,,
"CONTROL","C",46,5/31/2002 0:00:00,0,,,
"CONTROL","C",46,11/26/2002 0:00:00,0,,,
"CONTROL","C",46,4/26/2004 0:00:00,0,,,
"CONTROL","C",46,8/23/2005 0:00:00,0,,,
"CONTROL","C",47,10/7/1996 0:00:00,1,91.00,13.00,0.00
"CONTROL","C",47,11/11/1997 0:00:00,1,173.00,24.00,0.00
