Site,Location,Tree,Age.base,Height,Diameter,Volume,Age.bh
1,3,1,10,1.2,NA,0.4,NA
1,3,1,20,5,5.8,8,9.74
1,3,1,30,10,13.3,66,19.74
1,3,1,40,15.4,20.1,201,29.74
1,3,1,50,20.8,24.9,437,39.74
1,3,1,60,25.1,28.4,709,49.74
1,3,2,10,1.3,NA,0.4,NA
1,3,2,20,4.9,6.8,10,10
1,3,2,30,10.4,15,82,20
1,3,2,40,16,21.5,259,30
1,3,2,50,21.3,25.6,503,40
1,3,2,60,25.1,28.3,752,50
1,3,5,10,2,1.4,0.8,1.89
1,3,5,20,5.7,7,11,11.89
1,3,5,30,10.5,11.5,52,21.89
1,3,5,40,15.9,16.1,166,31.89
1,3,5,50,20.6,19.8,341,41.89
1,3,5,60,23.6,23.8,581,51.89
1,3,5,70,26.4,27.1,848,61.89
1,3,5,80,29.2,30.4,1145,71.89
1,3,5,90,30.9,33.3,1445,81.89
1,3,5,100,32.2,35.8,1713,91.89
1,3,6,10,2.2,2,1.4,1.91
1,3,6,20,6.9,9.7,24,11.91
1,3,6,30,12.7,16.1,117,21.91
1,3,6,40,17.1,20.8,227,31.91
1,3,6,50,21.7,24.3,511,41.91
1,3,6,60,25.7,27.1,747,51.91
1,3,6,70,28.9,29.6,1002,61.91
1,3,6,80,31.6,32,1278,71.91
1,3,6,90,33.9,34.2,1553,81.91
1,3,6,100,35.6,36.3,1836,91.91
1,3,10,10,1.3,NA,0.2,NA
1,3,10,20,5.8,6.4,10,10
1,3,10,30,10.7,11.7,56,20
1,3,10,40,15.2,16.3,152,30
1,3,10,50,19.1,20.4,303,40
1,3,10,60,22.7,24.2,510,50
1,3,10,70,26.1,27.5,758,60
1,3,10,80,28,30.4,1016,70
1,3,10,90,29.2,32.7,1252,80
1,3,10,100,30.8,35.2,1507,90
1,3,10,110,33.6,37.2,1745,100
1,3,10,120,35.7,38.9,1973,110
1,3,11,10,2.3,2.4,2.2,2.44
1,3,11,20,6.4,8.3,20,12.44
1,3,11,30,11.9,14.4,93,22.44
1,3,11,40,16.9,20.1,262,32.44
1,3,11,50,21.3,24.2,476,42.44
1,3,11,60,25.4,27.2,705,52.44
1,3,11,70,28.8,30,967,62.44
1,3,11,80,31.1,32.3,1203,72.44
1,3,11,90,32.5,34.2,1409,82.44
1,3,11,100,34,36.5,1659,92.44
1,3,11,110,35.6,38.5,1898,102.44
1,3,11,120,36.9,40.1,2106,112.44
1,3,12,10,2,1.2,0.8,2.06
1,3,12,20,5.4,6.6,9,12.06
1,3,12,30,10.7,14.8,84,22.06
1,3,12,40,16.1,22.8,305,32.06
1,3,12,50,21,29,633,42.06
1,3,12,60,25.8,33.7,1034,52.06
1,3,12,70,29.2,36.8,1408,62.06
1,3,12,80,31.6,39.4,1746,72.06
1,3,12,90,33.1,41.8,2085,82.06
1,3,12,100,34.3,44,2411,92.06
1,3,12,110,35.9,46.4,2790,102.06
1,3,12,120,37.4,48.2,3111,112.06
1,4,1,10,2.1,1.6,0.9,1.78
1,4,1,20,6.6,8.3,17,11.78
1,4,1,30,11.4,13.5,77,21.78
1,4,1,40,15.9,17.8,194,31.78
1,4,1,50,19.8,20.7,339,41.78
1,4,1,60,23.2,23.3,503,51.78
1,4,1,70,24.9,25.5,665,61.78
1,4,2,10,2.2,1.5,0.1,2.05
1,4,2,20,6.6,8.2,6,12.05
1,4,2,30,11.1,13.2,46,22.05
1,4,2,40,15.5,17.7,146,32.05
1,4,2,50,19.2,21,316,42.05
1,4,2,60,22.4,23.4,525,52.05
1,4,2,70,25.1,25.7,765,62.05
1,4,6,10,1.1,NA,0.7,NA
1,4,6,20,4.7,5,17,9.44
1,4,6,30,10.1,11.3,72,19.44
1,4,6,40,14.8,16.6,188,29.44
1,4,6,50,18.9,21.3,335,39.44
1,4,6,60,22.3,25.1,483,49.44
1,4,6,70,25.5,28,644,59.44
1,4,6,80,27.7,30.4,999,69.44
1,4,6,90,30.3,33,1280,79.44
1,4,6,100,32.6,35.6,1576,89.44
1,4,6,110,34.6,37.8,1850,99.44
1,5,4,10,1.2,NA,0.2,NA
1,5,4,20,5.5,7.9,16,9.77
1,5,4,30,10.5,15.3,92,19.77
1,5,4,40,16,22.5,287,29.77
1,5,4,50,19.4,26.3,488,39.77
1,5,4,60,22.6,28.5,679,49.77
1,5,4,70,24.8,30.5,874,59.77
1,5,4,80,27.5,32.4,1080,69.77
1,5,4,90,29.4,33.9,1265,79.77
1,5,13,10,1.2,NA,0.3,NA
1,5,13,20,3.4,4.6,4,9.55
1,5,13,30,7.5,10.1,28,19.55
1,5,13,40,12.1,16.1,109,29.55
1,5,13,50,16.5,21.7,285,39.55
1,5,13,60,20.9,25.7,470,49.55
1,5,13,70,24.8,28.9,699,59.55
1,5,13,80,27.9,31.7,932,69.55
1,5,13,90,30.4,34.1,1161,79.55
1,5,25,10,1.5,0.5,0.4,0.43
1,5,25,20,6.2,8,16,10.43
1,5,25,30,11.1,14.8,84,20.43
1,5,25,40,15.3,19.5,206,30.43
1,5,25,50,18.9,23.1,260,40.43
1,5,25,60,21.9,26.5,563,50.43
1,5,25,70,24.8,29.7,793,60.43
1,5,25,80,27.7,33.1,1072,70.43
1,5,25,90,29.7,35.5,1305,80.43
1,5,25,100,31.5,38.5,1560,90.43
1,5,25,110,33.1,40.9,1808,100.43
1,5,25,120,34.8,43.6,2099,110.43
1,5,25,130,36.4,46.4,2418,120.43
1,5,25,140,38,49.3,2771,130.43
1,5,25,150,39.3,51.8,3124,140.43
2,1,8,10,1.3,NA,0.4,NA
2,1,8,20,4.3,4.9,5,10
2,1,8,30,8.2,8.6,23,20
2,1,8,40,10.9,12.1,65,30
2,1,8,50,15.5,14.9,126,40
2,1,8,60,18.9,17.1,206,50
2,1,8,70,21.9,19.2,304,60
2,1,8,80,23.7,20.9,400,70
2,1,8,90,25.2,22.6,512,80
2,1,8,100,26.4,23.8,607,90
2,1,8,110,27.5,25,697,100
2,1,8,120,28.6,25.7,759,110
2,1,8,130,29.5,26.3,815,120
2,1,8,140,30.4,26.9,880,130
2,1,8,150,31.4,27.4,943,140
2,1,9,10,0.9,NA,0.1,NA
2,1,9,20,2.5,2.4,1,7.5
2,1,9,30,4.8,5.9,7,17.5
2,1,9,40,8,9.3,27,27.5
2,1,9,50,12.2,12.7,75,37.5
2,1,9,60,16.2,16.5,170,47.5
2,1,9,70,19.7,19.5,283,57.5
2,1,9,80,22.7,22.1,425,67.5
2,1,9,90,25.1,24.4,591,77.5
2,1,9,100,27.3,26.5,764,87.5
2,1,9,110,28.9,28.5,950,97.5
2,1,9,120,30.2,30.3,1128,107.5
2,1,9,130,31.7,32.6,1361,117.5
2,1,9,140,33.4,35,1626,127.5
2,1,9,150,34.9,37.4,1890,137.5
2,1,10,10,1.3,NA,0.4,NA
2,1,10,20,5,5.4,7,10
2,1,10,30,10.3,11.4,51,20
2,1,10,40,15.4,16,153,30
2,1,10,50,19.4,19.3,289,40
2,1,10,60,22.5,22.2,453,50
2,1,10,70,24.9,24.5,604,60
2,1,10,80,27.5,27,812,70
2,1,10,90,29.4,28.8,997,80
2,1,10,100,30.8,30.6,1184,90
2,1,10,110,32,32.2,1368,100
2,1,10,120,32.9,33.6,1539,110
2,1,10,130,34.6,35.3,1754,120
2,1,10,140,36.5,37.1,1995,130
2,1,10,150,37.9,38.9,2257,140
2,1,11,10,1.3,NA,0.2,NA
2,1,11,20,5.5,6.3,9,10
2,1,11,30,8.1,10,30,20
2,1,11,40,10.9,13.3,68,30
2,1,11,50,13.8,15.1,120,40
2,1,11,60,17,19.5,252,50
2,1,11,70,20.1,23.6,428,60
2,1,11,80,22.8,27.5,651,70
2,1,11,90,25.1,30.4,876,80
2,1,11,100,27.1,33.2,1118,90
2,1,11,110,28.8,35.5,1342,100
2,1,11,120,30.5,38,1600,110
2,1,11,130,31.9,40.8,1883,120
2,1,11,140,32.9,43.1,2137,130
2,1,11,150,34.1,45.3,2385,140
2,3,3,10,1.3,NA,0.5,NA
2,3,3,20,3.3,4,4,10
2,3,3,30,6.6,9.5,24,20
2,3,3,40,10.4,14.6,77,30
2,3,3,50,15,19.1,188,40
2,3,3,60,19.6,23.3,358,50
2,3,3,70,22.6,26.3,558,60
2,3,3,80,25.1,29,762,70
2,3,4,10,1.5,0.2,0.4,0.63
2,3,4,20,4.7,6.4,9,10.63
2,3,4,30,9.4,12.3,52,20.62
2,3,4,40,14.3,17.2,150,30.62
2,3,4,50,18.7,21,302,40.63
2,3,4,60,22.2,24.6,510,50.63
2,3,4,70,25.1,27.4,711,60.63
2,3,4,80,27.2,29.5,866,70.62
2,3,7,10,1.2,NA,0.2,NA
2,3,7,20,3.5,4,4,9.57
2,3,7,30,7.3,11,32,19.57
2,3,7,40,12,16.8,116,29.57
2,3,7,50,15.9,22.2,271,39.57
2,3,7,60,19.2,26,456,49.57
2,3,7,70,22.3,29,658,59.57
2,3,7,80,24.8,31.4,857,69.57
2,3,7,90,26.9,33.5,1064,79.57
2,3,7,100,28.8,35.4,1278,89.57
2,3,7,110,30.7,37.3,1514,99.57
2,3,8,10,0.9,NA,0.1,NA
2,3,8,20,2.2,1.7,1,6.92
2,3,8,30,6.6,8.5,18,16.92
2,3,8,40,12.2,14,84,26.92
2,3,8,50,16.6,20.1,213,36.92
2,3,8,60,19.7,23.4,364,46.92
2,3,8,70,22.5,25.9,525,56.92
2,3,8,80,24.5,28,674,66.92
2,3,8,90,26.9,30.5,858,76.92
2,3,8,100,29,32.6,1064,86.92
2,3,8,110,31.1,34.9,1305,96.92
2,4,5,10,0.9,NA,0.1,NA
2,4,5,20,3.8,4.4,4,8.62
2,4,5,30,7.3,10.2,27,18.62
2,4,5,40,11.8,14.5,83,28.62
2,4,5,50,15.8,18.2,181,38.62
2,4,5,60,19.5,21.7,333,48.62
2,4,5,70,21.7,24.4,494,58.62
2,4,5,80,24.1,27.2,678,68.62
2,4,5,90,26.4,29.4,852,78.62
2,4,5,100,28.2,31,1009,88.62
2,4,7,10,0.9,NA,0.1,NA
2,4,7,20,4,5.5,6,8.71
2,4,7,30,8.1,12.7,45,18.71
2,4,7,40,12.2,18.7,139,28.71
2,4,7,50,15.7,22.8,266,38.71
2,4,7,60,18.4,25.7,405,48.71
2,4,7,70,20.8,28.5,573,58.71
2,4,7,80,23.1,31,765,68.71
2,4,7,90,25.1,33.4,970,78.71
2,4,7,100,27,35.7,1186,88.71
2,4,7,110,28.5,37.9,1414,98.71
2,4,7,120,30,40.3,1659,108.71
2,4,7,130,31.6,43.1,1950,118.71
2,4,7,140,33.1,45.6,2270,128.71
2,5,2,10,1.3,NA,0.2,NA
2,5,2,20,4.4,5.6,7,10
2,5,2,30,9,11.5,44,20
2,5,2,40,13.4,17.3,145,30
2,5,2,50,16.8,20.4,250,40
2,5,2,60,20.1,22.6,370,50
2,5,2,70,22.7,24.7,500,60
2,5,2,80,25.2,26.5,637,70
2,5,3,10,1.8,0.7,0.5,1.32
2,5,3,20,5.6,6.4,9,11.32
2,5,3,30,11.3,11.5,54,21.32
2,5,3,40,16.2,16.1,154,31.32
2,5,3,50,18.9,18.9,259,41.32
2,5,3,60,21.7,21.3,372,51.32
2,5,3,70,24.2,23.8,512,61.32
2,5,3,80,26.8,25.8,662,71.32
2,5,6,10,1.3,NA,0.3,NA
2,5,6,20,4.1,5.7,7,10
2,5,6,30,7.2,10.7,31,20
2,5,6,40,10.7,14.7,77,30
2,5,6,50,13.7,17.8,144,40
2,5,6,60,16.2,20,218,50
2,5,6,70,18.9,22,312,60
2,5,6,80,21.4,23.8,420,70
2,5,6,90,23.1,25.5,530,80
2,5,7,10,0.9,NA,0.1,NA
2,5,7,20,4.1,5.1,6,8.75
2,5,7,30,8.2,10.8,36,18.75
2,5,7,40,11.9,14.5,92,28.75
2,5,7,50,15.4,17.9,185,38.75
2,5,7,60,18.6,20.3,280,48.75
2,5,7,70,21.2,22.4,398,58.75
2,5,7,80,23.6,24,506,68.75
2,5,7,90,25.3,25.2,609,78.75
2,5,8,10,1.1,NA,0.2,NA
2,5,8,20,5.2,9.2,20,9.51
2,5,8,30,10.2,17.8,101,19.51
2,5,8,40,15,23.6,250,29.51
2,5,8,50,18.5,28.2,494,39.51
2,5,8,60,21.5,30.3,677,49.51
2,5,8,70,23.8,32,870,59.51
2,5,8,80,25.3,33.4,1023,69.51
2,5,8,90,26.5,34.4,1149,79.51
2,5,9,10,1.1,NA,0.2,NA
2,5,9,20,3.8,4.2,4,9.26
2,5,9,30,7.4,8.9,22,19.26
2,5,9,40,11.5,12.6,68,29.26
2,5,9,50,15.5,15.6,140,39.26
2,5,9,60,18.6,17.8,236,49.26
2,5,9,70,21.2,19.9,353,59.26
2,5,9,80,23.6,21.8,478,69.26
2,5,9,90,25.6,23.5,601,79.26
2,5,10,10,1.5,0.3,0.5,0.59
2,5,10,20,4.9,6.6,10,10.59
2,5,10,30,9.3,10.9,43,20.59
2,5,10,40,13.4,15.1,116,30.59
2,5,10,50,16.7,18,206,40.59
2,5,10,60,19.2,20.3,298,50.59
2,5,10,70,21.4,22.2,397,60.59
2,5,10,80,23.4,24.1,522,70.59
2,5,10,90,24.9,25.5,630,80.59
2,5,11,10,1.8,1.7,1.4,1.02
2,5,11,20,6.7,8,17,11.02
2,5,11,30,11.5,12.3,66,21.02
2,5,11,40,15.8,15.6,144,31.022
2,5,11,50,19.2,18.2,243,41.02
2,5,11,60,22,20.6,370,51.02
2,5,11,70,24,22.7,497,61.02
2,5,11,80,25.6,24.4,612,71.02
2,5,11,90,27,26.1,754,81.02
2,5,12,10,1.7,0.8,1.1,0.74
2,5,12,20,7.1,10.1,30,10.74
2,5,12,30,11.5,15.8,103,20.74
2,5,12,40,15.9,19.1,203,30.74
2,5,12,50,18.5,21.3,304,40.74
2,5,12,60,20.8,22.7,388,50.74
2,5,12,70,22.7,23.9,476,60.74
2,5,12,80,24.7,25,565,70.74
2,5,12,90,26.5,26,643,80.74
2,5,14,10,0.8,NA,0.2,NA
2,5,14,20,2.4,3,3,6.87
2,5,14,30,8.5,9.6,29,16.87
2,5,14,40,13.7,15.8,130,26.87
2,5,14,50,17.7,20.9,303,36.88
2,5,14,60,21.7,24.6,509,46.88
2,5,14,70,24.2,27.7,723,56.88
2,5,14,80,25.8,30.5,945,66.87
2,5,14,90,28,32.9,1172,76.87
2,5,14,100,30,34.7,1366,86.87
2,5,14,110,31.1,36.4,1561,96.87
2,5,15,10,1.2,NA,0.1,NA
2,5,15,20,5.1,6.2,9,9.74
2,5,15,30,10.5,12.2,58,19.74
2,5,15,40,14.9,18,182,29.74
2,5,15,50,17.5,21.4,307,39.74
2,5,15,60,19.6,23.6,429,49.74
2,5,15,70,21.2,25,519,59.74
2,5,15,80,22.8,26.6,622,69.74
2,5,15,90,24.4,28.3,755,79.74
2,5,15,100,25.8,29.9,881,89.74
2,5,15,110,27,31.1,986,99.74
2,5,17,10,2.3,2.4,0.2,1.89
2,5,17,20,7.6,10.1,27,11.89
2,5,17,30,11.3,14,78,21.89
2,5,17,40,14.5,16.8,149,31.89
2,5,17,50,16.2,18.3,203,41.89
2,5,17,60,18,20.5,297,51.89
2,5,17,70,19.8,22.5,397,61.89
2,5,17,80,21.8,24.7,524,71.89
2,5,17,90,23.8,26.5,645,81.89
2,5,17,100,25.6,27.9,759,91.89
2,5,17,110,27.2,29,868,101.89
2,5,18,10,1.7,0.6,0.3,0.8
2,5,18,20,6.7,6,9,10.8
2,5,18,30,12.8,12.7,78,20.8
2,5,18,40,17,16.8,189,30.8
2,5,18,50,20.4,20.1,329,40.8
2,5,18,60,23.5,22.8,499,50.8
2,5,18,70,26,24.7,657,60.8
2,5,18,80,28,26.2,791,70.8
2,5,18,90,29.8,27.4,913,80.8
2,5,18,100,31.3,28.1,1005,90.8
2,5,19,10,2,1.9,1.5,1.3
2,5,19,20,7.4,11.5,38,11.3
2,5,19,30,11.9,17.4,126,21.3
2,5,19,40,15.9,21.9,284,31.3
2,5,19,50,19,24.8,453,41.3
2,5,19,60,20.9,27,611,51.3
2,5,19,70,22.5,28.8,748,61.3
2,5,19,80,24.3,30.4,882,71.3
2,5,19,90,26.5,32,1032,81.3
2,5,19,100,28.3,33.7,1202,91.3
2,5,19,110,29.8,35.2,1377,101.3
2,5,21,10,1.1,NA,0.3,NA
2,5,21,20,4.3,5.2,6,9.38
2,5,21,30,8.6,11.3,41,19.37
2,5,21,40,13.1,16.4,127,29.37
2,5,21,50,17.7,20.1,252,39.38
2,5,21,60,21.2,23.2,415,49.38
2,5,21,70,24.1,25.3,557,59.38
2,5,21,80,26.6,27.3,710,69.37
2,5,21,90,28.5,29.2,853,79.37
2,5,21,100,29.9,30.9,1006,89.37
2,5,21,110,31.1,32.4,1148,99.37
2,5,21,120,31.9,33.9,1296,109.37
2,5,21,130,32.6,35.8,1495,119.37
2,5,22,10,1.1,NA,0.2,NA
2,5,22,20,3.5,4.8,6,9.17
2,5,22,30,6.5,10.2,28,19.17
2,5,22,40,11.2,15.8,101,29.17
2,5,22,50,15.6,20.5,246,39.17
2,5,22,60,19.7,25.1,465,49.17
2,5,22,70,23.1,28.9,747,59.17
2,5,22,80,25.7,32.1,1039,69.17
2,5,22,90,27.9,34.9,1332,79.17
2,5,22,100,29.1,37,1566,89.17
2,5,22,110,30.4,39.4,1830,99.17
2,5,22,120,31.3,41.4,2048,109.17
2,5,22,130,31.9,43.2,2264,119.17
2,5,23,10,1.3,NA,0.6,NA
2,5,23,20,4.8,7.4,13,10
2,5,23,30,8.5,12.3,48,20
2,5,23,40,12.2,15.8,111,30
2,5,23,50,16,18.3,196,40
2,5,23,60,18.8,20.2,287,50
2,5,23,70,21.1,21.5,369,60
2,5,23,80,22.6,22.7,454,70
2,5,23,90,24.1,23.9,538,80
2,5,23,100,25.6,24.9,606,90
2,5,23,110,26.9,25.8,672,100
2,5,23,120,28,26.5,728,110
2,5,23,130,29.2,27.1,780,120
2,5,23,140,30.4,28,847,130
2,5,23,150,31.7,29,931,140
2,5,24,10,1.3,NA,0.6,NA
2,5,24,20,5,6.5,11,10
2,5,24,30,9.6,11.7,50,20
2,5,24,40,13.2,17.4,149,30
2,5,24,50,16.5,22.1,297,40
2,5,24,60,19.4,25.6,472,50
2,5,24,70,21.4,27.6,604,60
2,5,24,80,23,29.8,782,70
2,5,24,90,25.1,31,907,80
2,5,24,100,26.5,32.3,1043,90
2,5,24,110,27.8,33.7,1200,100
2,5,24,120,29.1,35.1,1363,110
2,5,24,130,30.6,36.9,1566,120
2,5,24,140,32.2,38.7,1780,130
2,5,24,150,33.4,40.1,1982,140
2,5,26,10,2,2,0.2,1.75
2,5,26,20,6,6.5,11,11.75
2,5,26,30,9.1,12.6,52,21.75
2,5,26,40,12.3,16.5,120,31.75
2,5,26,50,15.5,20.6,238,41.75
2,5,26,60,18.6,24.1,401,51.75
2,5,26,70,21,26.5,564,61.75
2,5,26,80,23.1,28.5,736,71.75
2,5,26,90,25.1,30.1,894,81.75
2,5,26,100,26.6,31.9,1064,91.75
2,5,26,110,27.8,33.1,1184,101.75
2,5,26,120,28.8,34.2,1306,111.75
2,5,26,130,29.7,35.2,1417,121.75
2,5,26,140,30.7,36.3,1540,131.75
2,5,26,150,31.8,37.5,1681,141.75
2,6,2,10,1.5,0.5,0.4,0.49
2,6,2,20,5.6,6.8,11,10.49
2,6,2,30,10.1,10.5,41,20.49
2,6,2,40,13.8,14,109,30.49
2,6,2,50,16.9,16.6,191,40.49
2,6,2,60,19.7,18.7,293,50.49
2,6,2,70,22,20.2,390,60.49
2,6,2,80,24.1,21.5,485,70.49
2,6,3,10,1.8,0.8,0.6,1.25
2,6,3,20,5.8,7.4,13,11.25
2,6,3,30,9.8,12,51,21.25
2,6,3,40,13.5,15.8,125,31.25
2,6,3,50,16.4,17.9,208,41.25
2,6,3,60,19.5,20.1,320,51.25
2,6,3,70,22.3,21.6,419,61.25
2,6,3,80,24.8,22.7,512,71.25
2,6,4,10,2.3,2,0.1,2.33
2,6,4,20,6.6,8.8,19,12.33
2,6,4,30,10.6,13.9,74,22.33
2,6,4,40,13.9,18.2,173,32.33
2,6,4,50,17.2,21.3,285,42.33
2,6,4,60,20.4,24.3,448,52.33
2,6,4,70,23.5,27.2,646,62.33
2,6,4,80,25.8,29.5,834,72.33
2,6,5,10,0.7,NA,0.1,NA
2,6,5,20,2,1.4,1,5.38
2,6,5,30,6.6,6.6,11,15.38
2,6,5,40,11.8,11.1,60,25.38
2,6,5,50,17.5,16,186,35.38
2,6,5,60,22.5,21.8,438,45.38
2,6,5,70,26.1,26.3,756,55.38
2,6,6,10,1.3,NA,0.4,NA
2,6,6,20,5.2,7.4,12,10
2,6,6,30,10,13.7,68,20
2,6,6,40,14.3,17.7,162,30
2,6,6,50,17.5,20.6,286,40
2,6,6,60,20.3,22.9,419,50
2,6,6,70,22.6,24.7,546,60
2,6,6,80,24.8,26.2,663,70
2,6,7,10,1.9,0.8,0.5,1.3
2,6,7,20,6.5,9.6,23,11.3
2,6,7,30,11,16.8,118,21.3
2,6,7,40,14,21.4,237,31.3
2,6,7,50,17.9,23.6,350,41.3
2,6,7,60,20.7,25.7,481,51.3
2,6,7,70,23,27.5,612,61.3
2,6,7,80,25.2,29.1,746,71.3
2,6,7,90,27.4,30.6,884,81.3
2,6,7,100,29.7,31.7,1005,91.3
2,6,8,10,1.2,NA,0.3,NA
2,6,8,20,4.3,5.2,6,9.68
2,6,8,30,9.3,11.2,45,19.68
2,6,8,40,13,15.2,126,29.68
2,6,8,50,17.4,18.7,244,39.68
2,6,8,60,20.9,21.5,380,49.68
2,6,8,70,23.1,23.6,500,59.68
2,6,8,80,25.1,25.8,648,69.68
2,6,8,90,27.4,28.4,811,79.68
2,6,8,100,29.3,30.6,975,89.68
2,7,6,10,0.7,NA,0.1,NA
2,7,6,20,2.1,1.5,1,5.71
2,7,6,30,6.4,10,24,15.71
2,7,6,40,11,16.8,111,25.71
2,7,6,50,15,21.7,251,35.71
2,7,6,60,17.9,24.8,414,45.71
2,7,6,70,19.6,27.4,571,55.71
2,7,6,80,21.9,29.5,721,65.71
2,7,6,90,23.5,31.7,886,75.71
2,7,6,100,24.9,33.4,1038,85.71
2,7,6,110,26.2,35,1193,95.71
2,7,6,120,27.2,36.5,1353,105.71
2,7,6,130,28.2,37.8,1499,115.71
2,7,6,140,29.2,40,1725,125.71
2,7,6,150,30.2,42.6,2012,135.71
3,1,12,10,1,NA,0.3,NA
3,1,12,20,2.8,3.4,2,8.33
3,1,12,30,6.3,9.1,21,18.33
3,1,12,40,10,14.8,81,28.33
3,1,12,50,12.7,19.1,156,38.33
3,1,12,60,15.4,22,251,48.33
3,1,12,70,18.1,24.6,358,58.33
3,1,12,80,21.1,26.8,495,68.33
3,1,12,90,23.6,29.3,662,78.33
