"This dataset represents a selection of tree taper data from the British Columbia Ministry of Forests and Range volume and decay databases. The trees in the master database were used to fit the taper equations used in B.C.  All trees in the master database were selected purposefully.",,,,,,,,,,
"The trees in this dataset were systematically selected from the range of dbh for the species within a biogeoclimatic zone from the trees in the master database.",,,,,,,,,,
"Each record equals a section of a tree and cites the height above ground (high side), its stem diameter and volume for the upper position of the section.  Header details describing the tree species, biogeoclimatic unit, dbh, height, age  and total tree volume are cited for each section record.",,,,,,,,,,
"913539",2.59,4,10.2,0.01,"F","CWH dm",51,12.5,13.11,0.07
"913539",3.81,5,9.7,0.01,"F","CWH dm",51,12.5,13.11,0.07
"913539",5.03,6,8.9,0.01,"F","CWH dm",51,12.5,13.11,0.07
"913539",6.25,7,8.1,0.01,"F","CWH dm",51,12.5,13.11,0.07
"913539",7.47,8,7.4,0.01,"F","CWH dm",51,12.5,13.11,0.07
"913539",8.69,9,6.6,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",9.91,10,5.8,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",11.13,11,4.1,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",12.34,12,1.5,0,"F","CWH dm",51,12.5,13.11,0.07
"913539",13.11,13,0,0,"F","CWH dm",51,12.5,13.11,0.07
"913122",0.3,1,14.2,0,"F","CWH dm",67,13.6,17.8,0.1
"913122",0.61,2,13,0,"F","CWH dm",67,13.6,17.8,0.1
"913122",1.3,3,11.8,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",2.99,4,10.7,0.02,"F","CWH dm",67,13.6,17.8,0.1
"913122",4.6,5,10.4,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",6.22,6,8.9,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",7.83,7,8.6,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",9.45,8,7.6,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",11.06,9,6.6,0.01,"F","CWH dm",67,13.6,17.8,0.1
"913122",12.68,10,5.6,0,"F","CWH dm",67,13.6,17.8,0.1
"913122",14.3,11,4.3,0,"F","CWH dm",67,13.6,17.8,0.1
"913122",15.91,12,2.5,0,"F","CWH dm",67,13.6,17.8,0.1
"913122",17.8,13,0,0,"F","CWH dm",67,13.6,17.8,0.1
"913455",0.3,1,14.5,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",0.61,2,13.7,0,"F","CWH dm",80,14.8,20.39,0.15
"913455",1.3,3,13,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",3.26,4,12.2,0.02,"F","CWH dm",80,14.8,20.39,0.15
"913455",5.15,5,11.4,0.02,"F","CWH dm",80,14.8,20.39,0.15
"913455",7.04,6,10.9,0.02,"F","CWH dm",80,14.8,20.39,0.15
"913455",8.93,7,10.4,0.02,"F","CWH dm",80,14.8,20.39,0.15
"913455",10.82,8,9.4,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",12.71,9,8.6,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",14.6,10,7.4,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",16.49,11,6.1,0.01,"F","CWH dm",80,14.8,20.39,0.15
"913455",18.38,12,3.6,0,"F","CWH dm",80,14.8,20.39,0.15
"913455",20.39,13,0,0,"F","CWH dm",80,14.8,20.39,0.15
"913126",0.3,1,15.5,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",0.61,2,14.2,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",1.3,3,13.5,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",2.96,4,12.4,0.02,"F","CWH dm",102,15.6,17.56,0.13
"913126",4.54,5,12.4,0.02,"F","CWH dm",102,15.6,17.56,0.13
"913126",6.13,6,11.2,0.02,"F","CWH dm",102,15.6,17.56,0.13
"913126",7.71,7,10.2,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",9.3,8,9.1,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",10.88,9,8.4,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",12.47,10,6.6,0.01,"F","CWH dm",102,15.6,17.56,0.13
"913126",14.05,11,4.8,0,"F","CWH dm",102,15.6,17.56,0.13
"913126",15.64,12,3,0,"F","CWH dm",102,15.6,17.56,0.13
"913126",17.56,13,0,0,"F","CWH dm",102,15.6,17.56,0.13
"913431",0.3,1,16.5,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",0.61,2,16,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",1.3,3,14.9,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",2.96,4,14.2,0.03,"F","CWH dm",59,17.2,17.47,0.15
"913431",4.54,5,13.7,0.02,"F","CWH dm",59,17.2,17.47,0.15
"913431",6.13,6,11.9,0.02,"F","CWH dm",59,17.2,17.47,0.15
"913431",7.71,7,10.2,0.02,"F","CWH dm",59,17.2,17.47,0.15
"913431",9.3,8,8.9,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",10.88,9,7.6,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",12.47,10,6.3,0.01,"F","CWH dm",59,17.2,17.47,0.15
"913431",14.05,11,5.1,0,"F","CWH dm",59,17.2,17.47,0.15
"913431",15.64,12,2.5,0,"F","CWH dm",59,17.2,17.47,0.15
"913431",17.47,13,0,0,"F","CWH dm",59,17.2,17.47,0.15
"913440",0.3,1,15.7,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",0.61,2,14.7,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",1.3,3,14.5,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",3.26,4,14,0.03,"F","CWH dm",70,17.8,20.48,0.17
"913440",5.15,5,12.2,0.03,"F","CWH dm",70,17.8,20.48,0.17
"913440",7.04,6,11.7,0.02,"F","CWH dm",70,17.8,20.48,0.17
"913440",8.93,7,10.9,0.02,"F","CWH dm",70,17.8,20.48,0.17
"913440",10.82,8,9.7,0.02,"F","CWH dm",70,17.8,20.48,0.17
"913440",12.71,9,8.1,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",14.6,10,7.4,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",16.49,11,5.6,0.01,"F","CWH dm",70,17.8,20.48,0.17
"913440",18.38,12,3.8,0,"F","CWH dm",70,17.8,20.48,0.17
"913440",20.48,13,0,0,"F","CWH dm",70,17.8,20.48,0.17
"913540",0.3,1,19.3,0.01,"F","CWH dm",51,18.6,14.75,0.18
"913540",0.61,2,18,0.01,"F","CWH dm",51,18.6,14.75,0.18
"913540",1.3,3,16.9,0.02,"F","CWH dm",51,18.6,14.75,0.18
"913540",2.68,4,16,0.03,"F","CWH dm",51,18.6,14.75,0.18
"913540",3.99,5,15.5,0.03,"F","CWH dm",51,18.6,14.75,0.18
"913540",5.3,6,14.2,0.02,"F","CWH dm",51,18.6,14.75,0.18
"913540",6.61,7,13.2,0.02,"F","CWH dm",51,18.6,14.75,0.18
"913540",7.92,8,12.7,0.02,"F","CWH dm",51,18.6,14.75,0.18
"913540",9.24,9,9.7,0.01,"F","CWH dm",51,18.6,14.75,0.18
"913540",10.55,10,8.1,0.01,"F","CWH dm",51,18.6,14.75,0.18
"913540",11.86,11,5.3,0,"F","CWH dm",51,18.6,14.75,0.18
"913540",13.17,12,3,0,"F","CWH dm",51,18.6,14.75,0.18
"913540",14.75,13,0,0,"F","CWH dm",51,18.6,14.75,0.18
"913130",0.3,1,21.8,0.01,"F","CWH dm",101,22,25.05,0.36
"913130",0.61,2,20.6,0.01,"F","CWH dm",101,22,25.05,0.36
"913130",1.3,3,18.7,0.02,"F","CWH dm",101,22,25.05,0.36
"913130",3.72,4,17.8,0.06,"F","CWH dm",101,22,25.05,0.36
"913130",6.07,5,16.8,0.06,"F","CWH dm",101,22,25.05,0.36
"913130",8.41,6,15.2,0.05,"F","CWH dm",101,22,25.05,0.36
"913130",10.76,7,14,0.04,"F","CWH dm",101,22,25.05,0.36
"913130",13.11,8,13.5,0.03,"F","CWH dm",101,22,25.05,0.36
"913130",15.45,9,11.7,0.03,"F","CWH dm",101,22,25.05,0.36
"913130",17.8,10,9.9,0.02,"F","CWH dm",101,22,25.05,0.36
"913130",20.15,11,8.4,0.02,"F","CWH dm",101,22,25.05,0.36
"913130",22.49,12,4.8,0.01,"F","CWH dm",101,22,25.05,0.36
"913130",25.05,13,0,0,"F","CWH dm",101,22,25.05,0.36
"913107",0.3,1,29.2,0.02,"F","CWH dm",101,29.2,29.54,0.72
"913107",0.61,2,27.2,0.02,"F","CWH dm",101,29.2,29.54,0.72
"913107",1.3,3,25.1,0.04,"F","CWH dm",101,29.2,29.54,0.72
"913107",4.18,4,21.6,0.12,"F","CWH dm",101,29.2,29.54,0.72
"913107",6.98,5,20.6,0.1,"F","CWH dm",101,29.2,29.54,0.72
"913107",9.78,6,20.3,0.09,"F","CWH dm",101,29.2,29.54,0.72
"913107",12.59,7,19.6,0.09,"F","CWH dm",101,29.2,29.54,0.72
"913107",15.39,8,17.8,0.08,"F","CWH dm",101,29.2,29.54,0.72
"913107",18.2,9,16,0.06,"F","CWH dm",101,29.2,29.54,0.72
"913107",21,10,14,0.05,"F","CWH dm",101,29.2,29.54,0.72
"913107",23.8,11,10.9,0.03,"F","CWH dm",101,29.2,29.54,0.72
"913107",26.61,12,5.3,0.02,"F","CWH dm",101,29.2,29.54,0.72
"913107",29.54,13,0,0,"F","CWH dm",101,29.2,29.54,0.72
"913517",0.3,1,32,0.02,"F","CWH dm",86,30.3,31.88,0.88
"913517",0.61,2,28.4,0.02,"F","CWH dm",86,30.3,31.88,0.88
"913517",1.3,3,25.8,0.04,"F","CWH dm",86,30.3,31.88,0.88
"913517",4.42,4,22.9,0.15,"F","CWH dm",86,30.3,31.88,0.88
"913517",7.47,5,22.6,0.12,"F","CWH dm",86,30.3,31.88,0.88
"913517",10.52,6,22.1,0.12,"F","CWH dm",86,30.3,31.88,0.88
"913517",13.56,7,20.6,0.11,"F","CWH dm",86,30.3,31.88,0.88
"913517",16.61,8,18.8,0.09,"F","CWH dm",86,30.3,31.88,0.88
"913517",19.66,9,17.3,0.08,"F","CWH dm",86,30.3,31.88,0.88
"913517",22.71,10,15,0.06,"F","CWH dm",86,30.3,31.88,0.88
"913517",25.76,11,11.2,0.04,"F","CWH dm",86,30.3,31.88,0.88
"913517",28.8,12,6.3,0.02,"F","CWH dm",86,30.3,31.88,0.88
"913517",31.88,13,0,0,"F","CWH dm",86,30.3,31.88,0.88
"913457",0.3,1,39.9,0.04,"F","CWH dm",78,37.8,33.22,1.61
"913457",0.61,2,35.3,0.03,"F","CWH dm",78,37.8,33.22,1.61
"913457",1.3,3,33.3,0.06,"F","CWH dm",78,37.8,33.22,1.61
"913457",4.54,4,32,0.27,"F","CWH dm",78,37.8,33.22,1.61
"913457",7.71,5,31,0.25,"F","CWH dm",78,37.8,33.22,1.61
"913457",10.88,6,30.5,0.24,"F","CWH dm",78,37.8,33.22,1.61
"913457",14.05,7,29,0.22,"F","CWH dm",78,37.8,33.22,1.61
"913457",17.22,8,25.7,0.19,"F","CWH dm",78,37.8,33.22,1.61
"913457",20.39,9,21.6,0.14,"F","CWH dm",78,37.8,33.22,1.61
"913457",23.56,10,17,0.09,"F","CWH dm",78,37.8,33.22,1.61
"913457",26.73,11,11.9,0.05,"F","CWH dm",78,37.8,33.22,1.61
"913457",29.9,12,6.3,0.02,"F","CWH dm",78,37.8,33.22,1.61
"913457",33.22,13,0,0,"F","CWH dm",78,37.8,33.22,1.61
"913470",0.3,1,44.7,0.05,"F","CWH dm",70,41,35.11,1.69
"913470",0.61,2,40.9,0.04,"F","CWH dm",70,41,35.11,1.69
"913470",1.3,3,35.8,0.08,"F","CWH dm",70,41,35.11,1.69
"913470",4.73,4,31.5,0.31,"F","CWH dm",70,41,35.11,1.69
"913470",8.08,5,30.2,0.25,"F","CWH dm",70,41,35.11,1.69
"913470",11.43,6,28.7,0.23,"F","CWH dm",70,41,35.11,1.69
"913470",14.78,7,27.2,0.21,"F","CWH dm",70,41,35.11,1.69
"913470",18.14,8,24.9,0.18,"F","CWH dm",70,41,35.11,1.69
"913470",21.49,9,22.4,0.15,"F","CWH dm",70,41,35.11,1.69
"913470",24.84,10,17.8,0.11,"F","CWH dm",70,41,35.11,1.69
"913470",28.19,11,12.2,0.06,"F","CWH dm",70,41,35.11,1.69
"913470",31.55,12,6.1,0.02,"F","CWH dm",70,41,35.11,1.69
"913470",35.11,13,0,0,"F","CWH dm",70,41,35.11,1.69
"913472",0.3,1,49.5,0.06,"F","CWH dm",78,45.4,35.05,2.15
"913472",0.61,2,44.4,0.05,"F","CWH dm",78,45.4,35.05,2.15
"913472",1.3,3,40.6,0.1,"F","CWH dm",78,45.4,35.05,2.15
"913472",4.73,4,37.3,0.41,"F","CWH dm",78,45.4,35.05,2.15
"913472",8.08,5,35.1,0.35,"F","CWH dm",78,45.4,35.05,2.15
"913472",11.43,6,33,0.31,"F","CWH dm",78,45.4,35.05,2.15
"913472",14.78,7,30.2,0.26,"F","CWH dm",78,45.4,35.05,2.15
"913472",18.14,8,27.7,0.22,"F","CWH dm",78,45.4,35.05,2.15
"913472",21.49,9,23.9,0.18,"F","CWH dm",78,45.4,35.05,2.15
"913472",24.84,10,18.5,0.12,"F","CWH dm",78,45.4,35.05,2.15
"913472",28.19,11,12.4,0.07,"F","CWH dm",78,45.4,35.05,2.15
"913472",31.55,12,6.1,0.03,"F","CWH dm",78,45.4,35.05,2.15
"913472",35.05,13,0,0,"F","CWH dm",78,45.4,35.05,2.15
"913484",0.3,1,70.9,0.12,"F","CWH dm",81,58.6,37.27,2.92
"913484",0.61,2,58.2,0.1,"F","CWH dm",81,58.6,37.27,2.92
"913484",1.3,3,48.7,0.16,"F","CWH dm",81,58.6,37.27,2.92
"913484",4.94,4,39.6,0.56,"F","CWH dm",81,58.6,37.27,2.92
"913484",8.5,5,38.9,0.43,"F","CWH dm",81,58.6,37.27,2.92
"913484",12.07,6,36.8,0.4,"F","CWH dm",81,58.6,37.27,2.92
"913484",15.64,7,34,0.35,"F","CWH dm",81,58.6,37.27,2.92
"913484",19.2,8,30.5,0.29,"F","CWH dm",81,58.6,37.27,2.92
"913484",22.77,9,25.9,0.22,"F","CWH dm",81,58.6,37.27,2.92
"913484",26.33,10,20.8,0.15,"F","CWH dm",81,58.6,37.27,2.92
"913484",29.9,11,13.7,0.09,"F","CWH dm",81,58.6,37.27,2.92
"913484",33.47,12,6.6,0.03,"F","CWH dm",81,58.6,37.27,2.92
"913484",37.27,13,0,0.01,"F","CWH dm",81,58.6,37.27,2.92
"913701",0.3,1,8.1,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",0.61,2,7.9,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",1.3,3,7.9,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",2.35,4,7.4,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",3.32,5,7.1,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",4.3,6,6.9,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",5.27,7,6.6,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",6.25,8,6.1,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",7.22,9,5.3,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",8.2,10,4.6,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",9.17,11,3.8,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",10.15,12,1.5,0,"H","CWH dm",94,8.9,11.25,0.03
"913701",11.25,13,0,0,"H","CWH dm",94,8.9,11.25,0.03
"913292",0.3,1,19,0.01,"H","CWH dm",101,18.3,22.1,0.27
"913292",0.61,2,17.5,0.01,"H","CWH dm",101,18.3,22.1,0.27
"913292",1.3,3,16.8,0.02,"H","CWH dm",101,18.3,22.1,0.27
"913292",3.45,4,15.7,0.04,"H","CWH dm",101,18.3,22.1,0.27
"913292",5.52,5,15.2,0.04,"H","CWH dm",101,18.3,22.1,0.27
"913292",7.59,6,14.2,0.04,"H","CWH dm",101,18.3,22.1,0.27
"913292",9.66,7,13.7,0.03,"H","CWH dm",101,18.3,22.1,0.27
"913292",11.73,8,12.7,0.03,"H","CWH dm",101,18.3,22.1,0.27
"913292",13.81,9,11.7,0.02,"H","CWH dm",101,18.3,22.1,0.27
"913292",15.88,10,9.4,0.02,"H","CWH dm",101,18.3,22.1,0.27
"913292",17.95,11,7.4,0.01,"H","CWH dm",101,18.3,22.1,0.27
"913292",20.03,12,4.1,0.01,"H","CWH dm",101,18.3,22.1,0.27
"913292",22.1,13,0,0,"H","CWH dm",101,18.3,22.1,0.27
"913333",0.3,1,20.8,0.01,"H","CWH dm",164,22.1,19.69,0.34
"913333",0.61,2,20.1,0.01,"H","CWH dm",164,22.1,19.69,0.34
"913333",1.3,3,20.3,0.02,"H","CWH dm",164,22.1,19.69,0.34
"913333",3.2,4,19.8,0.06,"H","CWH dm",164,22.1,19.69,0.34
"913333",5.03,5,19,0.05,"H","CWH dm",164,22.1,19.69,0.34
"913333",6.86,6,18.5,0.05,"H","CWH dm",164,22.1,19.69,0.34
"913333",8.69,7,16.8,0.04,"H","CWH dm",164,22.1,19.69,0.34
"913333",10.52,8,15.5,0.04,"H","CWH dm",164,22.1,19.69,0.34
"913333",12.34,9,10.9,0.03,"H","CWH dm",164,22.1,19.69,0.34
"913333",14.17,10,8.1,0.01,"H","CWH dm",164,22.1,19.69,0.34
"913333",16,11,5.6,0.01,"H","CWH dm",164,22.1,19.69,0.34
"913333",17.83,12,2.5,0,"H","CWH dm",164,22.1,19.69,0.34
"913333",19.69,13,0,0,"H","CWH dm",164,22.1,19.69,0.34
"913678",0.3,1,32.8,0.03,"H","CWH dm",61,29.4,31.27,0.95
"913678",0.61,2,30.2,0.02,"H","CWH dm",61,29.4,31.27,0.95
"913678",1.3,3,28.1,0.05,"H","CWH dm",61,29.4,31.27,0.95
"913678",4.36,4,25.9,0.18,"H","CWH dm",61,29.4,31.27,0.95
"913678",7.35,5,24.9,0.15,"H","CWH dm",61,29.4,31.27,0.95
"913678",10.33,6,23.4,0.14,"H","CWH dm",61,29.4,31.27,0.95
"913678",13.32,7,21.8,0.12,"H","CWH dm",61,29.4,31.27,0.95
"913678",16.31,8,19.3,0.1,"H","CWH dm",61,29.4,31.27,0.95
"913678",19.29,9,16.5,0.08,"H","CWH dm",61,29.4,31.27,0.95
"913678",22.28,10,13,0.05,"H","CWH dm",61,29.4,31.27,0.95
"913678",25.27,11,8.9,0.03,"H","CWH dm",61,29.4,31.27,0.95
"913678",28.25,12,4.3,0.01,"H","CWH dm",61,29.4,31.27,0.95
"913678",31.27,13,0,0,"H","CWH dm",61,29.4,31.27,0.95
"913766",0.3,1,35.6,0.03,"H","CWH dm",82,32.7,31.67,1.21
"913766",0.61,2,33.3,0.03,"H","CWH dm",82,32.7,31.67,1.21
"913766",1.3,3,30.9,0.06,"H","CWH dm",82,32.7,31.67,1.21
"913766",4.39,4,30,0.23,"H","CWH dm",82,32.7,31.67,1.21
"913766",7.41,5,28.2,0.2,"H","CWH dm",82,32.7,31.67,1.21
"913766",10.42,6,26.9,0.18,"H","CWH dm",82,32.7,31.67,1.21
"913766",13.44,7,24.4,0.16,"H","CWH dm",82,32.7,31.67,1.21
"913766",16.46,8,21.8,0.13,"H","CWH dm",82,32.7,31.67,1.21
"913766",19.48,9,17.5,0.09,"H","CWH dm",82,32.7,31.67,1.21
"913766",22.49,10,14,0.06,"H","CWH dm",82,32.7,31.67,1.21
"913766",25.51,11,9.4,0.03,"H","CWH dm",82,32.7,31.67,1.21
"913766",28.53,12,4.8,0.01,"H","CWH dm",82,32.7,31.67,1.21
"913766",31.67,13,0,0,"H","CWH dm",82,32.7,31.67,1.21
"913669",0.3,1,49.5,0.06,"H","CWH dm",67,43.5,29.08,1.95
"913669",0.61,2,45,0.05,"H","CWH dm",67,43.5,29.08,1.95
"913669",1.3,3,41.2,0.1,"H","CWH dm",67,43.5,29.08,1.95
"913669",4.12,4,40.1,0.37,"H","CWH dm",67,43.5,29.08,1.95
"913669",6.86,5,37.3,0.32,"H","CWH dm",67,43.5,29.08,1.95
"913669",9.6,6,35.6,0.29,"H","CWH dm",67,43.5,29.08,1.95
"913669",12.34,7,32.5,0.25,"H","CWH dm",67,43.5,29.08,1.95
"913669",15.09,8,28.7,0.2,"H","CWH dm",67,43.5,29.08,1.95
"913669",17.83,9,24.6,0.15,"H","CWH dm",67,43.5,29.08,1.95
"913669",20.57,10,17,0.1,"H","CWH dm",67,43.5,29.08,1.95
"913669",23.32,11,10.2,0.04,"H","CWH dm",67,43.5,29.08,1.95
"913669",26.06,12,3.6,0.01,"H","CWH dm",67,43.5,29.08,1.95
"913669",29.08,13,0,0,"H","CWH dm",67,43.5,29.08,1.95
"913328",0.3,1,57.1,0.08,"H","CWH dm",338,52.8,30.48,1.78
"913328",0.61,2,56.1,0.08,"H","CWH dm",338,52.8,30.48,1.78
"913328",1.3,3,50.2,0.15,"H","CWH dm",338,52.8,30.48,1.78
"913328",4.27,4,35.1,0.44,"H","CWH dm",338,52.8,30.48,1.78
"913328",7.16,5,34,0.27,"H","CWH dm",338,52.8,30.48,1.78
"913328",10.06,6,27.2,0.22,"H","CWH dm",338,52.8,30.48,1.78
"913328",12.95,7,25.9,0.16,"H","CWH dm",338,52.8,30.48,1.78
"913328",15.85,8,23.6,0.14,"H","CWH dm",338,52.8,30.48,1.78
"913328",18.75,9,19.8,0.11,"H","CWH dm",338,52.8,30.48,1.78
"913328",21.64,10,16.5,0.08,"H","CWH dm",338,52.8,30.48,1.78
"913328",24.54,11,10.7,0.04,"H","CWH dm",338,52.8,30.48,1.78
"913328",27.43,12,6.1,0.02,"H","CWH dm",338,52.8,30.48,1.78
"913328",30.48,13,0,0,"H","CWH dm",338,52.8,30.48,1.78
"913324",0.3,1,62,0.09,"H","CWH dm",366,56,33.52,3.8
"913324",0.61,2,56.4,0.09,"H","CWH dm",366,56,33.52,3.8
"913324",1.3,3,51.9,0.16,"H","CWH dm",366,56,33.52,3.8
"913324",4.57,4,47,0.63,"H","CWH dm",366,56,33.52,3.8
"913324",7.77,5,45.2,0.53,"H","CWH dm",366,56,33.52,3.8
"913324",10.97,6,44.2,0.5,"H","CWH dm",366,56,33.52,3.8
"913324",14.17,7,40.6,0.45,"H","CWH dm",366,56,33.52,3.8
"913324",17.37,8,38.6,0.39,"H","CWH dm",366,56,33.52,3.8
"913324",20.57,9,34.8,0.34,"H","CWH dm",366,56,33.52,3.8
"913324",23.77,10,30,0.27,"H","CWH dm",366,56,33.52,3.8
"913324",26.97,11,26.7,0.2,"H","CWH dm",366,56,33.52,3.8
"913324",30.18,12,14.7,0.12,"H","CWH dm",366,56,33.52,3.8
"913324",33.52,13,0,0.02,"H","CWH dm",366,56,33.52,3.8
"014938",0.3,1,31,0.02,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",0.61,2,29,0.02,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",0.91,3,28.2,0.02,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",1.37,4,26.9,0.03,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",5.18,5,22.9,0.19,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",10.12,6,20.3,0.18,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",15,7,17.8,0.14,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",21.79,8,10.2,0.11,"B","CWH ds 1",207,28.9,27.4,0.73
"014938",27.4,9,0,0.02,"B","CWH ds 1",207,28.9,27.4,0.73
"014539",0.3,1,38.6,0.04,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",0.61,2,35.1,0.03,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",0.91,3,35.1,0.03,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",1.37,4,33.8,0.04,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",5.18,5,31,0.31,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",10.06,6,27.9,0.33,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",14.97,7,25.4,0.27,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",19.87,8,17.8,0.19,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",23.62,9,10.2,0.06,"B","CWH ds 1",277,38.4,26.8,1.32
"014539",26.8,10,0,0.01,"B","CWH ds 1",277,38.4,26.8,1.32
"014762",0.3,1,52.3,0.07,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",0.61,2,48.5,0.06,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",0.91,3,47.8,0.06,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",1.37,4,46.7,0.08,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",5.18,5,45.7,0.64,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",10.06,6,40.6,0.72,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",14.94,7,38.1,0.59,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",19.81,8,33,0.49,"B","CWH ds 1",233,51.9,34.4,3.24
"014762",24.69,9,25.4,0.33,"B","CWH ds 1",233,51.9,34.4,3.24
