"stratum","cluster","point","tree","species","distance.m","azimuth","dbh.cm","dbh.in","hcb.m","ht.m","ht.ft","baf.ft2.ac","ba.ft2","tf.ac","vol.bf"
3,13,1,6,"TSHE",2.36,204,19.1,7.5197,5.91,13.58,44.814,40,0.3084,129.7,67.798
3,13,1,7,"THPL",0.93,250,11.7,4.6063,3.48,7.98,26.334,40,0.1157,345.65,15.648
3,13,2,1,"TSHE",9.2,316,68.1,26.811,13.03,31.66,104.48,40,3.9205,10.203,940.79
3,13,2,2,"TSHE",1.64,334,12.7,5,,,105.98,40,0.1363,293.36,69.186
3,13,2,3,"TSHE",0.47,28,6.8,2.6772,2.96,5.07,16.731,40,0.0391,1023.3,38.757
3,13,2,4,"TSHE",3.99,92,68.2,26.85,,,19.819,40,3.932,10.173,209.2
3,13,2,5,"TSHE",1.69,143,17.3,6.811,3.12,12.31,40.623,40,0.253,158.1,59.985
3,13,2,6,"TSHE",5.76,212,58,22.835,,,53.03,40,2.8438,14.066,369.96
3,13,2,7,"TSHE",6.98,250,63.8,25.118,15.09,31.31,103.32,40,3.441,11.624,821.53
3,13,3,1,"TSHE",3.79,104,53.3,20.984,7.33,33.26,109.76,20,2.4016,8.3278,618.73
3,13,3,10,"TSHE",8.56,304,52.6,20.709,,,98.516,20,2.3389,8.5509,545.56
3,13,3,11,"TSHE",11.44,338,53.5,21.063,14.34,34.97,115.4,20,2.4197,8.2656,653.22
3,13,3,12,"TSHE",5.18,129,45,17.717,10.58,15.97,52.701,20,1.7119,11.683,236.31
3,13,3,2,"TSHE",4.77,180,45.8,18.031,,,92.72,20,1.7733,11.278,399.98
3,13,3,3,"TSHE",8.86,191,39.8,15.669,6.4,22.34,73.722,20,1.3391,14.935,255.07
3,13,3,4,"TSHE",12.12,204,55.3,21.772,,,88.202,20,2.5852,7.7363,540.27
3,13,3,5,"TSHE",10.13,217,63.6,25.039,19.53,33.91,111.9,20,3.4195,5.8488,881.34
3,13,3,6,"LAOC",8.81,230,63.6,25.039,28.63,44.8,147.84,20,3.4195,5.8488,953.92
3,13,3,7,"TSHE",5.66,220,44.7,17.598,13.25,30.29,99.957,20,1.6891,11.84,409.73
3,13,3,8,"TSHE",2.88,277,32.1,12.638,11.33,16.68,55.044,20,0.8711,22.96,143.07
3,13,3,9,"TSHE",5.7,284,66.6,26.22,12.02,34.95,115.34,20,3.7497,5.3338,991.22
3,13,4,1,"TSHE",3.49,355,60.3,23.74,16.31,28.59,94.347,20,3.0738,6.5065,676.99
3,13,4,10,"TSHE",14.89,348,53.3,20.984,9.31,23.96,79.068,20,2.4016,8.3278,456.16
3,13,4,2,"TSHE",13.47,355,72.9,28.701,,,98.516,20,4.4927,4.4517,1013.6
3,13,4,3,"TSHE",6.66,106,57.6,22.677,8.15,32.66,107.78,20,2.8047,7.1308,704.08
3,13,4,4,"PIMO",16.45,127,98.4,38.74,15.24,38.95,128.53,20,8.1854,2.4434,2320.4
3,13,4,5,"TSHE",7.77,126,54.1,21.299,,,115.14,20,2.4742,8.0833,665.7
3,13,4,6,"TSHE",3.84,227,80.8,31.811,7.18,18.95,62.535,20,5.5191,3.6238,798.59
3,13,4,7,"TSHE",1.39,270,9.2,3.622,,,110.53,20,0.0716,279.52,54.758
3,13,4,8,"TSHE",12.66,311,58.5,23.031,11.45,22.02,72.666,20,2.8931,6.9131,501.02
3,13,4,9,"TSHE",10.38,328,54.1,21.299,11.24,18.22,60.126,20,2.4742,8.0833,365.45
3,13,5,1,"TSHE",3.96,320,65.1,25.63,9.11,30.61,101.01,20,3.5827,5.5824,835.56
3,13,5,10,"TSHE",9.62,286,50.6,19.921,12.81,29.79,98.307,20,2.1645,9.2402,506.65
3,13,5,2,"TSHE",9.7,332,54.3,21.378,,,96.791,20,2.4926,8.0238,569.46
3,13,5,3,"TSHE",13.36,90,70.3,27.677,8.8,35.22,116.23,20,4.1779,4.7871,1108.4
3,13,5,4,"TSHE",11.47,97,49.9,19.646,,,106.86,20,2.105,9.5013,533.48
3,13,5,5,"TSHE",5.72,123,60.1,23.661,6.13,30.66,101.18,20,3.0535,6.5499,718.76
3,13,5,6,"TSHE",12.25,155,65.7,25.866,,,102.31,20,3.649,5.4809,860.78
3,13,5,7,"TSHE",1.33,240,7.2,2.8346,0.96,3.23,10.659,20,0.0438,456.37,38.344
3,13,5,8,"THPL",1.33,48,9.9,3.8976,0.63,6.17,20.361,20,0.0829,241.39,13.458
3,13,5,9,"TSHE",8.86,256,66.4,26.142,,,30.865,20,3.7272,5.3659,291.06
3,14,1,1,"TSHE",12.74,357,57.5,22.638,1.68,25.79,85.107,20,2.795,7.1556,562
3,14,1,2,"TSHE",11.76,33,74.5,29.331,3.62,15.63,51.579,20,4.692,4.2626,571.12
3,14,1,3,"TSHE",16.12,90,84,33.071,1.56,25.17,83.061,20,5.9649,3.3529,1130.1
3,14,1,4,"TSHE",9.85,137,69,27.165,,,111.49,20,4.0248,4.9692,1027.1
3,14,1,5,"ABLA",4.63,168,21,8.2677,0.5,15.59,51.447,20,0.3728,53.647,46.957
3,14,1,6,"ABLA",2.1,278,26.7,10.512,,,62.487,20,0.6027,33.186,81.209
3,14,1,7,"LAOC",14.24,272,61.3,24.134,14.17,35.48,117.08,20,3.1766,6.296,709.69
3,14,1,8,"LAOC",14.87,278,67.1,26.417,,,131.49,20,3.8062,5.2546,944.69
3,14,1,9,"ABLA",4.15,318,23.5,9.252,1,16.17,53.361,20,0.4669,42.84,57.582
3,14,2,1,"TSHE",0.61,318,19.3,7.5984,3.61,8.48,27.984,20,0.3149,63.514,56.751
3,14,2,2,"ABLA",2.71,15,30.4,11.969,6.96,21.54,71.082,20,0.7813,25.6,114.34
3,14,2,3,"PIMO",8.4,48,104.6,41.181,12.81,,153.73,20,9.2493,2.1623,3126.6
3,14,2,4,"TSHE",6.02,219,60.8,23.937,2.29,29.75,98.175,20,3.125,6.3999,714.03
3,14,2,5,"TSHE",12.92,259,83.8,32.992,8.74,31.81,104.97,20,5.9366,3.3689,1411.9
3,14,3,1,"TSHE",7.16,14,69.5,27.362,5.62,23.7,78.21,20,4.0834,4.8979,741.73
3,14,3,2,"TSHE",2.44,86,11.7,4.6063,1,6.09,20.097,20,0.1157,172.83,42.444
3,14,3,3,"TSHE",15.18,96,68.1,26.811,5.26,28.31,93.423,20,3.9205,5.1014,845.19
3,14,3,4,"TSHE",14.08,104,71.8,28.268,10.05,22.23,73.359,20,4.3581,4.5892,742.49
3,14,3,5,"TSHE",7.71,132,65.7,25.866,4.75,23.99,79.167,20,3.649,5.4809,674.51
3,14,3,6,"TSHE",7.74,175,73.6,28.976,9.46,26.58,87.714,20,4.5793,4.3674,923.29
3,14,3,7,"TSHE",15.32,201,72.8,28.661,4.65,21.57,71.181,20,4.4803,4.464,740.75
3,14,4,1,"TSHE",2.84,236,27.7,10.906,2.64,15.1,49.83,20,0.6486,30.833,108.61
3,14,4,2,"ABLA",10.5,214,49,19.291,2.78,18.63,61.479,20,2.0297,9.8535,242.72
3,14,4,3,"TSHE",4.5,295,25.6,10.079,1.29,15.76,52.008,20,0.554,36.1,100.87
3,14,4,4,"TSHE",8.33,306,39.6,15.591,4.89,17.88,59.004,20,1.3257,15.087,209.85
3,14,4,5,"TSHE",5.59,326,26.2,10.315,2.88,16.92,55.836,20,0.5803,34.465,108.78
3,14,4,6,"TSHE",13.65,350,74.9,29.488,6.46,12.23,40.359,20,4.7425,4.2171,459.5
3,14,4,7,"TSHE",15.38,42,89.2,35.118,5.85,21.02,69.366,20,6.7263,2.9734,1066.5
3,14,5,1,"TSHE",1.75,60,72.3,28.465,4.78,21.39,70.587,20,4.419,4.5259,725.33
3,14,5,2,"TSHE",13.94,54,61,24.016,,,107.63,20,3.1456,6.358,784.09
3,14,5,3,"TSHE",11.79,100,65.9,25.945,9.97,26.51,87.483,20,3.6713,5.4477,745.74
3,14,5,4,"TSHE",17.8,137,84.5,33.268,6.32,16.88,55.704,20,6.0362,3.3134,778.96
3,14,5,5,"TSHE",3.81,177,26.8,10.551,,,111.64,20,0.6072,32.939,186.82
3,14,5,6,"ABLA",3.42,255,24.4,9.6063,,,58.392,20,0.5033,39.738,65.88
3,14,5,7,"ABLA",2.17,258,16.3,6.4173,5.74,7.89,26.037,20,0.2246,89.044,22.244
3,14,5,8,"TSHE",11.77,286,64,25.197,3.67,23.71,78.243,20,3.4626,5.7759,634.9
3,14,5,9,"TSHE",12.92,332,83.7,32.953,7.99,15.55,51.315,20,5.9224,3.377,707.65
3,15,1,1,"TSHE",9.43,175,72.771,28.65,3.23,24.1,79.53,40,4.4768,8.935,822.63
3,15,1,2,"PIEN",4.2,213,27.94,11,4.25,11.94,39.402,40,0.6599,60.612,66.631
3,15,1,3,"PIEN",2.7,260,32.766,12.9,4.93,16,52.8,40,0.9076,44.072,822.08
3,15,1,4,"LAOC",4.84,263,67.564,26.6,9.74,26.38,87.054,40,3.859,10.365,643.9
3,15,1,5,"ABLA",3.92,294,27.432,10.8,8.77,15.99,52.767,40,0.6362,62.878,73.627
3,15,1,6,"PIEN",1.7,343,29.083,11.45,4.94,15.79,52.107,40,0.715,55.941,1040.3
3,15,1,7,"PIEN",5.13,90,57.658,22.7,,,102.94,40,2.8104,14.233,273.51
3,15,2,1,"PIEN",9.13,317,65.786,25.9,4.02,15.52,51.216,10,3.6586,2.7333,14.992
3,15,2,2,"ABLA",11.3,325,38.354,15.1,3.73,19.53,64.449,10,1.2436,8.0414,159.97
3,15,2,3,"ABLA",7.91,345,32.258,12.7,,,71.001,10,0.8797,11.368,127.18
3,15,2,4,"TSHE",17.94,346,59.436,23.4,5.21,20.34,67.122,10,2.9864,3.3485,479.46
3,15,2,5,"TSHE",13.91,363,66.421,26.15,,,101.97,10,3.7296,2.6813,876.16
3,15,2,6,"TSHE",12.07,9,51.689,20.35,6.5,27.1,89.43,10,2.2586,4.4275,482.84
3,15,2,7,"TSHE",18.08,18,71.882,28.3,,,97.503,10,4.3681,2.2893,976.73
3,15,2,8,"ABLA",8.45,33,52.959,20.85,3.7,25.57,84.381,10,2.371,4.2177,382.26
3,15,2,9,"TSHE",15.09,63,77.47,30.5,6.11,29.27,96.591,10,5.0736,1.971,1118.3
3,15,3,1,"TSHE",5.07,240,86.868,34.2,4.43,23.39,77.187,20,6.3792,3.1352,1123.4
3,15,3,10,"TSHE",12.13,111,76.2,30,8.73,25.53,84.249,20,4.9086,4.0745,949.48
3,15,3,11,"TSHE",13.56,148,72.39,28.5,8.57,24.83,81.939,20,4.43,4.5147,837.97
3,15,3,12,"TSHE",6.07,184,35.814,14.1,6.13,24.51,80.883,20,1.0843,18.445,230.76
3,15,3,13,"TSHE",16.84,211,87.376,34.4,,,84.124,20,6.454,3.0988,1234.9
3,15,3,14,"ABLA",17.03,220,79.756,31.4,8.01,14.69,48.477,20,5.3774,3.7193,494.62
3,15,3,2,"TSHE",12.41,261,55.499,21.85,,,110.2,20,2.6039,7.6809,670.24
3,15,3,3,"TSHE",15.39,328,74.549,29.35,7.65,24.21,79.893,20,4.6982,4.257,865.24
3,15,3,4,"TSHE",12.78,30,61.976,24.4,10.52,12.76,42.108,20,3.2471,6.1594,338.9
3,15,3,5,"TSHE",9.81,50,82.804,32.6,5.5,22.3,73.59,20,5.7963,3.4505,978.16
3,15,3,6,"TSHE",14.09,50,65.532,25.8,9.37,20.25,66.825,20,3.6304,5.509,572.43
3,15,3,7,"TSHE",14.8,68,64.389,25.35,6.93,12,39.6,20,3.5049,5.7064,343.45
3,15,3,8,"TSHE",12.59,89,68.834,27.1,4.93,18.92,62.436,20,4.0055,4.9932,588.93
3,15,3,9,"TSHE",3.13,100,35.56,14,3.85,23.91,78.903,20,1.069,18.709,223.36
3,15,4,1,"TSHE",8.59,182,62.992,24.8,3.95,26.44,87.252,20,3.3544,5.9623,682.89
3,15,4,2,"TSHE",11.26,170,54.61,21.5,,,103.72,20,2.5211,7.933,614.1
3,15,4,3,"TSHE",6.3,123,50.292,19.8,7.26,23.65,78.045,20,2.1382,9.3537,405.39
3,15,4,4,"TSHE",11.6,101,76.708,30.2,,,96.585,20,4.9743,4.0207,1097
3,15,4,5,"PIEN",5.38,95,68.58,27,13.61,31.42,103.69,20,3.976,5.0302,34.97
3,15,4,6,"TSHE",10.27,359,55.626,21.9,7.6,25.64,84.612,20,2.6158,7.6459,525.5
3,15,4,7,"PIEN",9.94,347,50.038,19.7,,,95.548,20,2.1166,9.4489,55.278
3,15,4,8,"PIEN",9.92,328,48.26,19,13.15,23.08,76.164,20,1.9689,10.158,58.537
3,15,5,1,"PIEN",16.38,65,62.738,24.7,4.94,32.04,105.73,10,3.3274,3.0053,15.304
3,15,5,2,"PIEN",17.74,116,73.66,29,3.82,21.89,72.237,10,4.5868,2.1802,14.356
3,17,1,1,"ABLA",3.59,30,27.9,10.984,5.96,15.71,51.843,20,0.658,30.393,74.642
3,17,1,2,"ABLA",3.52,73,28.8,11.339,,,65.917,20,0.7012,28.523,97.081
3,17,1,3,"ABLA",2.47,90,22.1,8.7008,4.19,12.95,42.735,20,0.4129,48.439,44.111
3,17,1,4,"ABLA",6.29,153,31.2,12.283,,,69.515,20,0.8229,24.304,117.44
3,17,1,5,"ABLA",7.24,176,48.5,19.094,5.22,16.77,55.341,20,1.9885,10.058,215.4
3,17,1,6,"ABLA",3.86,282,27.3,10.748,,,63.495,20,0.63,31.744,85.56
3,17,2,1,"ABLA",3,273,25.8,10.157,3.74,8.8,29.04,20,0.5627,35.542,41.694
3,17,2,2,"ABLA",5.41,292,30.7,12.087,7.3,16.05,52.965,20,0.7968,25.102,89.629
3,17,2,3,"TSHE",3.02,350,28.3,11.142,3.44,16.57,54.681,20,0.677,29.54,118.97
3,17,2,4,"TSHE",2.54,44,15.5,6.1024,,,74.468,20,0.2031,98.473,70.674
3,17,2,5,"TSHE",6.18,50,43.6,17.165,3.74,20.76,68.508,20,1.607,12.445,280.15
3,17,2,6,"TSHE",5.2,158,27.8,10.945,2.54,20.6,67.98,20,0.6533,30.612,135.28
3,17,2,7,"TSHE",1.35,98,13,5.1181,0.61,4.64,15.312,20,0.1429,139.99,42.139
3,17,2,8,"TSHE",6.5,178,38.8,15.276,,,41.038,20,1.2727,15.715,152.51
3,17,3,1,"PIEN",3.8,184,43.9,17.283,5.32,20.83,68.739,10,1.6292,6.1379,18.904
3,17,3,2,"TSHE",4.91,180,19.2,7.5591,0.77,5.81,19.173,10,0.3116,32.089,50.493
3,17,3,3,"PIEN",13.18,244,52.3,20.591,,,97.894,10,2.3123,4.3246,16.82
3,17,3,4,"PIEN",10.67,311,36.7,14.449,1.85,18.6,61.38,10,1.1386,8.7825,21.942
3,17,3,5,"TSHE",5.41,357,23.7,9.3307,2.57,8.2,27.06,10,0.4748,21.06,65.655
3,17,4,1,"ABLA",3.84,37,25.8,10.157,6.31,14.34,47.322,20,0.5627,35.542,60.764
3,17,4,10,"ABLA",5.52,352,33.9,13.346,,,73.196,20,0.9715,20.587,143.22
3,17,4,2,"ABLA",7.13,50,37.9,14.921,,,78.036,20,1.2143,16.47,187.06
3,17,4,3,"ABLA",4.24,78,43.6,17.165,5.62,19.95,65.835,20,1.607,12.445,207.52
3,17,4,4,"ABLA",6.17,89,40.6,15.984,,,80.947,20,1.3935,14.353,220.49
3,17,4,5,"PIEN",2.69,150,16.2,6.378,1.8,2.5,8.25,20,0.2219,90.147,426.17
3,17,4,6,"PIEN",4.65,178,22.6,8.8976,3.66,14.37,47.421,20,0.4318,46.32,224.74
3,17,4,7,"ABLA",5.7,201,29.5,11.614,4.09,16.82,55.506,20,0.7357,27.186,87.098
3,17,4,8,"ABLA",5.31,212,27.9,10.984,,,64.481,20,0.658,30.393,90.057
3,17,4,9,"ABLA",2.32,320,17.3,6.811,2,7.75,25.575,20,0.253,79.048,23.398
3,17,5,1,"ABLA",2.1,156,31,12.205,8.88,19.28,63.624,20,0.8124,24.618,107.22
3,17,5,2,"ABLA",3.6,238,30.3,11.929,8.64,21.67,71.511,20,0.7761,25.769,114.29
3,17,5,3,"ABLA",6.98,352,33.1,13.031,8.68,21.48,70.884,20,0.9262,21.594,133.1
3,17,5,4,"PIEN",6.45,52,29.4,11.575,4.32,15.46,51.018,20,0.7307,27.371,137.65
3,17,5,5,"ABLA",4.15,100,21.3,8.3858,3.69,4.62,15.246,20,0.3835,52.146,22.242
3,17,5,6,"PIEN",2.22,162,9.9,3.8976,0.96,3.46,11.418,20,0.0829,241.39,1121.3
4,19,1,1,"THPL",2.83,278,48.514,19.1,12.48,25.09,82.797,20,1.9897,10.052,275.94
